fid,LENGTH,FEATURES,y,x,mgrs
"27",793.2769,Highway,"27.81125221","84.94505614",45RTL9757777988
"27",793.2769,Highway,"27.81146176","84.94542459",45RTL9761378010
"27",793.2769,Highway,"27.81166794","84.94595414",45RTL9766678032
"27",793.2769,Highway,"27.81181384","84.94639309",45RTL9770978048
"27",793.2769,Highway,"27.81187540","84.94662705",45RTL9773378054
"27",793.2769,Highway,"27.81190342","84.94681759",45RTL9775178057
"27",793.2769,Highway,"27.81192445","84.94704106",45RTL9777378059
"27",793.2769,Highway,"27.81196673","84.94745564",45RTL9781478063
"27",793.2769,Highway,"27.81198831","84.94759855",45RTL9782878065
"27",793.2769,Highway,"27.81201669","84.94773645",45RTL9784278068
"27",793.2769,Highway,"27.81205847","84.94789412",45RTL9785878072
"27",793.2769,Highway,"27.81211608","84.94804686",45RTL9787378078
"27",793.2769,Highway,"27.81221165","84.94825702",45RTL9789478089
"27",793.2769,Highway,"27.81230735","84.94844815",45RTL9791378099
"27",793.2769,Highway,"27.81259088","84.94888259",45RTL9795678130
"27",793.2769,Highway,"27.81280100","84.94916606",45RTL9798478153
"27",793.2769,Highway,"27.81363618","84.95008487",45RTL9807678244
"28",67.99494,Highway,"27.80886922","84.94415573",45RTL9748377725
"28",67.99494,Highway,"27.80945900","84.94434604",45RTL9750377790
"29",93.14319,Highway,"27.80807030","84.94386719",45RTL9745477637
"29",93.14319,Highway,"27.80828175","84.94395718",45RTL9746377660
"29",93.14319,Highway,"27.80843697","84.94402322",45RTL9747077677
"29",93.14319,Highway,"27.80854721","84.94406731",45RTL9747477690
"29",93.14319,Highway,"27.80886922","84.94415573",45RTL9748377725
"30",924.3118,Highway,"27.81201579","84.96189843",45RTL9923778045
"30",924.3118,Highway,"27.81183663","84.96203132",45RTL9925078025
"30",924.3118,Highway,"27.81176843","84.96210684",45RTL9925878017
"30",924.3118,Highway,"27.81170019","84.96218680",45RTL9926578009
"30",924.3118,Highway,"27.81162033","84.96231486",45RTL9927878000
"30",924.3118,Highway,"27.81152001","84.96246622",45RTL9929277989
"30",924.3118,Highway,"27.81126397","84.96294922",45RTL9934077960
"30",924.3118,Highway,"27.81101460","84.96344623",45RTL9938877931
"30",924.3118,Highway,"27.81094589","84.96359342",45RTL9940277923
"30",924.3118,Highway,"27.81088657","84.96368804",45RTL9941277917
"30",924.3118,Highway,"27.81083177","84.96378271",45RTL9942177910
"30",924.3118,Highway,"27.81075417","84.96391015",45RTL9943377902
"30",924.3118,Highway,"27.81066085","84.96402858",45RTL9944577891
"30",924.3118,Highway,"27.81040849","84.96430672",45RTL9947277863
"30",924.3118,Highway,"27.81017447","84.96454252",45RTL9949577836
"30",924.3118,Highway,"27.81002465","84.96467440",45RTL9950777819
"30",924.3118,Highway,"27.80995183","84.96476447",45RTL9951677811
"30",924.3118,Highway,"27.80985837","84.96490129",45RTL9952977801
"30",924.3118,Highway,"27.80982403","84.96497266",45RTL9953677797
"30",924.3118,Highway,"27.80977351","84.96510035",45RTL9954977791
"30",924.3118,Highway,"27.80972510","84.96524771",45RTL9956377785
"30",924.3118,Highway,"27.80967182","84.96544705",45RTL9958377779
"30",924.3118,Highway,"27.80964591","84.96560350",45RTL9959877776
"30",924.3118,Highway,"27.80962862","84.96581774",45RTL9961977774
"30",924.3118,Highway,"27.80961830","84.96600287",45RTL9963777772
"30",924.3118,Highway,"27.80961239","84.96620263",45RTL9965777771
"30",924.3118,Highway,"27.80963614","84.96635507",45RTL9967277774
"30",924.3118,Highway,"27.80966437","84.96651263",45RTL9968877777
"30",924.3118,Highway,"27.80982206","84.96718957",45RTL9975577793
"30",924.3118,Highway,"27.80984140","84.96732739",45RTL9976877795
"30",924.3118,Highway,"27.80984140","84.96732739",45RTL9976877795
"30",924.3118,Highway,"27.80983164","84.96743196",45RTL9977977794
"30",924.3118,Highway,"27.80981054","84.96754595",45RTL9979077791
"30",924.3118,Highway,"27.80976661","84.96769780",45RTL9980577786
"30",924.3118,Highway,"27.80971615","84.96781660",45RTL9981677780
"30",924.3118,Highway,"27.80965457","84.96791120",45RTL9982677773
"30",924.3118,Highway,"27.80956132","84.96801948",45RTL9983677763
"30",924.3118,Highway,"27.80948176","84.96810440",45RTL9984477754
"30",924.3118,Highway,"27.80937961","84.96819420",45RTL9985377742
"30",924.3118,Highway,"27.80920069","84.96829220",45RTL9986277722
"30",924.3118,Highway,"27.80902191","84.96837181",45RTL9987077702
"30",924.3118,Highway,"27.80888161","84.96843209",45RTL9987577687
"30",924.3118,Highway,"27.80871667","84.96846869",45RTL9987977668
"30",924.3118,Highway,"27.80845000","84.96853293",45RTL9988577639
"30",924.3118,Highway,"27.80822872","84.96855951",45RTL9988777614
"30",924.3118,Highway,"27.80772308","84.96860069",45RTL9989077558
"31",47.34485,Bridge Road,"27.80766540","84.88964578",45RTL9211077683
"31",47.34485,Bridge Road,"27.80767810","84.89012605",45RTL9215877683
"32",236.2785,Highway,"27.80623443","84.94279522",45RTL9734577435
"32",236.2785,Highway,"27.80644244","84.94305961",45RTL9737177458
"32",236.2785,Highway,"27.80654317","84.94317466",45RTL9738277469
"32",236.2785,Highway,"27.80664404","84.94327067",45RTL9739277480
"32",236.2785,Highway,"27.80674491","84.94336669",45RTL9740277491
"32",236.2785,Highway,"27.80684594","84.94343860",45RTL9740977502
"32",236.2785,Highway,"27.80697845","84.94352538",45RTL9741877517
"32",236.2785,Highway,"27.80712002","84.94360779",45RTL9742677532
"32",236.2785,Highway,"27.80735189","84.94368083",45RTL9743477558
"32",236.2785,Highway,"27.80807030","84.94386719",45RTL9745477637
"33",825.2052,Highway,"27.80767810","84.89012605",45RTL9215877683
"33",825.2052,Highway,"27.80768104","84.89036901",45RTL9218177683
"33",825.2052,Highway,"27.80768104","84.89036901",45RTL9218177683
"33",825.2052,Highway,"27.80767555","84.89052120",45RTL9219677682
"33",825.2052,Highway,"27.80766829","84.89059726",45RTL9220477682
"33",825.2052,Highway,"27.80764521","84.89067763",45RTL9221277679
"33",825.2052,Highway,"27.80761997","84.89074403",45RTL9221877676
"33",825.2052,Highway,"27.80722298","84.89143091",45RTL9228577631
"33",825.2052,Highway,"27.80707636","84.89177668",45RTL9231977614
"33",825.2052,Highway,"27.80663441","84.89278669",45RTL9241877563
"33",825.2052,Highway,"27.80643282","84.89326076",45RTL9246477540
"33",825.2052,Highway,"27.80638449","84.89340753",45RTL9247877535
"33",825.2052,Highway,"27.80634967","84.89355947",45RTL9249377530
"33",825.2052,Highway,"27.80632371","84.89373560",45RTL9251177527
"33",825.2052,Highway,"27.80630885","84.89393972",45RTL9253177525
"33",825.2052,Highway,"27.80630317","84.89412045",45RTL9254877524
"33",825.2052,Highway,"27.80635045","84.89587658",45RTL9272277527
"33",825.2052,Highway,"27.80635045","84.89587658",45RTL9272277527
"33",825.2052,Highway,"27.80634418","84.89684193",45RTL9281777524
"33",825.2052,Highway,"27.80633571","84.89710383",45RTL9284377523
"33",825.2052,Highway,"27.80631204","84.89727490",45RTL9285977520
"33",825.2052,Highway,"27.80627721","84.89742684",45RTL9287477516
"33",825.2052,Highway,"27.80604063","84.89807505",45RTL9293877489
"34",132.5981,Highway,"27.80538124","84.88029795",45RTL9118577446
"34",132.5981,Highway,"27.80543283","84.88069797",45RTL9122477451
"34",132.5981,Highway,"27.80544970","84.88088396",45RTL9124377452
"34",132.5981,Highway,"27.80550356","84.88163603",45RTL9131777457
"35",103.6078,Highway,"27.80550356","84.88163603",45RTL9131777457
"35",103.6078,Highway,"27.80549244","84.88196387",45RTL9134977455
"35",103.6078,Highway,"27.80548043","84.88207795",45RTL9136077454
"35",103.6078,Highway,"27.80545489","84.88219192",45RTL9137177451
"35",103.6078,Highway,"27.80526931","84.88263633",45RTL9141577429
"36",829.6108,Highway,"27.80521370","84.88286549",45RTL9143777423
"36",829.6108,Highway,"27.80521513","84.88299427",45RTL9145077423
"36",829.6108,Highway,"27.80522821","84.88306541",45RTL9145777424
"36",829.6108,Highway,"27.80524797","84.88315120",45RTL9146677426
"36",829.6108,Highway,"27.80528568","84.88325173",45RTL9147677430
"36",829.6108,Highway,"27.80536589","84.88340905",45RTL9149177439
"36",829.6108,Highway,"27.80552902","84.88365330",45RTL9151677456
