X,Y,Z,id,vertex_ind,vertex_par,vertex_p_1,distance,angle
84.1061177307229,28.1095378853817,620.77490234375,"1","0","0","0",0.00000000000000,156.53147227697039
84.1066870131085,28.1082266563611,633.27685546875,"1","1","0","1",0.00142947682010,153.11278760221106
84.1074876416505,28.1068568684857,645.395751953125,"1","2","0","2",0.00301608480121,152.92819494085592
84.1082698930337,28.1050864242394,658.796264648438,"1","3","0","3",0.00495164416626,140.08851594238124
84.1098129252438,28.1040450580127,681.737915039062,"1","4","0","4",0.00681320050966,142.20960547404235
84.110379851139,28.1024525523437,682.974182128906,"1","5","0","5",0.00850360853039,127.92284525739603
84.1133300171064,28.1021715377863,720.812072753906,"1","6","0","6",0.01146712812992,130.05101036586740
84.1135506041387,28.1013673696714,719.520141601562,"1","7","0","7",0.01230100161902,182.55665338916364
84.113100490016,28.1001604360933,738.360046386719,"1","8","0","8",0.01358913646644,184.02803572969125
84.1135531502763,28.0981010088832,753.746704101562,"1","9","0","9",0.01569772408501,159.82635642960307
84.1143529723002,28.0965936443053,779.904052734375,"1","10","0","10",0.01740414233400,125.11535852158291
84.1162836340087,28.0963160657628,790.735229492188,"1","11","0","11",0.01935465623556,112.46368933625826
84.1173444990191,28.0955240010166,809.690979003906,"1","12","0","12",0.02067859019632,128.62511627742271
84.1185317716752,28.0945098159973,815.25341796875,"1","13","0","13",0.02224005989292,115.86994468718405
84.1208930367453,28.0940407536247,834.91552734375,"1","14","0","14",0.02464746352349,136.76917315894875
84.1213124342855,28.0909376494537,873.741516113281,"1","15","0","15",0.02777878110445,155.13824145857137
84.1227388317919,28.089354941305,880.042602539062,"1","16","0","16",0.02990940892980,155.33770197401529
84.1229839882424,28.0874407194834,909.611389160156,"1","17","0","17",0.03183926562589,201.94014830952065
84.1211278095806,28.0859471663687,941.582763671875,"1","18","0","18",0.03422172236870,191.57664494254217
84.121868229141,28.0845561165903,956.317565917969,"1","19","0","19",0.03579755250275,146.29178570460724
84.1232724491218,28.0828460569283,977.399780273438,"1","20","0","20",0.03801027431139,127.75107954258537
84.1253072795697,28.081901805921,1004.88702392578,"1","21","0","21",0.04025351859506,132.92169502039565
84.1262571652858,28.0801916870936,1023.60968017578,"1","22","0","22",0.04220973670085,141.48764788295870
84.1273968020145,28.079164642594,1012.04321289062,"1","23","0","23",0.04374387889692,113.41606027423570
84.1291836688206,28.0790143804691,1008.83557128906,"1","24","0","24",0.04553705253285,127.78086361982336
84.129549394101,28.0779668168492,1004.08251953125,"1","25","0","25",0.04664662205230,183.25027326238273
84.1290855318405,28.0770049444987,995.10400390625,"1","26","0","26",0.04771450154711,178.77177661401788
84.1295790464407,28.0760846247711,990.047790527344,"1","27","0","27",0.04875879320258,122.10730958326582
84.1309511335056,28.0760267161235,986.450012207031,"1","28","0","28",0.05013210173497,87.59678334519140
84.1329458583051,28.0762795275208,981.329406738281,"1","29","0","29",0.05214278336772,82.77684454170826
