id,X,Y,Z,length,bridge,tunnel,grade,hz. angle
1,588923.7831169963,5590431.100733039,2995131.0555041763,0,0,0,0,0
2,588919.5064744013,5590432.458821763,2995128.9631256093,4.9509721202606825,0,0,-4.0396107096138305,0
3,588848.2439276334,5590452.45779314,2995092.9072476956,82.3306489717145,0,0,-7.530609897329976,1.9416104561344307
4,588834.0734183744,5590457.011682527,2995086.0063827094,16.406193305238794,0,0,-3.657155495104595,2.1393951193727845
5,588808.3665871968,5590464.622316171,2995073.187961312,29.7165751859166,0,0,-6.057225601330458,1.3238813042203192
6,588753.3425367642,5590483.876467638,2995047.136961916,63.85157041317408,0,0,-0.9396793158218527,2.7944421609174634
7,588743.8751229803,5590487.375032568,2995042.7402259028,11.00923103124421,0,0,0.9083286536200632,0.99507593370347
8,588712.6406556971,5590498.893783317,2995028.214853167,36.32161915976302,0,0,0.8259543680593778,0.038031170211183046
9,588661.7559795385,5590518.394393579,2995004.9037568155,59.26998634612404,0,0,2.193352960144503,0.7252722848674643
10,588643.3238487698,5590525.670109584,2994996.551237284,21.504512795723656,1,0,3.255130709770119,0.5722338548818198
11,588478.2558495774,5590582.191828671,2994925.507473427,188.38621358511915,0,0,0.26541220319929804,2.6386787889866237
12,588468.2694737078,5590585.729892181,2994920.9269745294,11.542381321102855,0,0,0.0,0.6067175219192436
13,588460.5535173748,5590588.249867858,2994917.150013425,8.952747887128934,0,0,-3.350926484049154,1.4220138322155087
14,588448.7600011538,5590591.584008558,2994912.0325264824,13.28127221561029,0,0,-4.517639502146535,2.300555432626076
15,588431.0194003495,5590597.653795924,2994904.923482405,20.052674217284444,0,0,1.4960598110219578,3.1018127650514056
16,588421.6439885696,5590600.52947821,2994902.286274886,10.154937624079158,0,0,3.9389705265299346,1.835784988353992
17,588403.7807350861,5590607.215265561,2994894.066204813,20.769331465646026,0,0,1.444437441312398,3.467532725726074
18,588391.3976226201,5590611.603187235,2994890.068477165,13.732339833768117,0,0,5.825664159815922,1.0080287212221704
19,588377.3884023583,5590616.757377733,2994886.237389721,15.411072741116293,0,0,9.084377340357483,0.6876426087210299
20,588353.7184894851,5590623.95202961,2994880.9415028254,25.299687924436856,0,0,6.3241886808200105,3.292231040147575
21,588335.7986841522,5590628.132828819,2994877.7668022458,18.67290092518366,0,0,2.6776771429535238,3.77451189452174
22,588316.815211325,5590631.955985951,2994874.404502914,19.654359003555015,0,0,0.0,1.7458313429619892
23,588252.143199151,5590645.143582956,2994863.2801509057,66.93379625407593,0,0,0.4482040714697991,0.13874876157800653
24,588126.3788735142,5590670.289678113,2994836.493337602,131.02108636199958,0,0,-1.7554426267275585,0.21849104389776783
25,588111.963335015,5590673.365665363,2994833.8312615827,14.978521172696059,0,0,0.6676226501072084,0.7381643814852378
26,588036.2433923639,5590689.0104177715,2994820.1061928673,78.5279918516248,0,0,0.2546862529961758,0.3713220605682374
27,587951.3318939273,5590704.405479937,2994802.5155058024,88.07044213149561,0,0,-3.0657277681980384,1.3973079595259779
28,587855.5893880872,5590724.506466937,2994783.82440408,99.59936940833201,0,0,-0.1004022420965822,1.5804469621537873
29,587832.5884298711,5590728.686902404,2994778.894970586,23.89182776842771,0,0,-3.348425276433346,1.5558559491875446
30,587750.7328059277,5590745.283616467,2994762.2816871298,85.15747340114663,0,0,-1.0568655504378304,1.1605900853977171
31,587627.8485107315,5590772.320762584,2994739.8509340254,127.80726098639866,0,0,1.3301278713584568,0.9468930877879365
32,587606.136104466,5590775.99703171,2994736.019842386,22.352199079146857,0,0,-2.684299642623457,2.798594750662584
33,587539.965990523,5590788.838520168,2994727.911661898,67.89057663538301,0,0,1.914846013139529,1.3727648563473764
34,587527.0501583494,5590790.510698171,2994726.0687361183,13.153375058810525,0,0,-4.56156687783433,3.6058492220149625
35,587525.0235437428,5590790.095398754,2994727.0155576873,2.2751069103222545,0,0,-4.395397840264938,18.95777423196982
36,587520.6656361321,5590789.557396562,2994728.2187065207,4.552842213128417,0,0,-6.589290512526109,4.5430808946886065
37,587516.6520274517,5590789.760957208,2994727.989204372,4.025315243933922,0,0,-7.452832432246464,9.941214443756245
38,587512.9559109334,5590790.544883443,2994726.6291750665,4.015656530251436,0,0,-7.470758461037262,9.071254208814786
39,587510.4788393604,5590791.569726542,2994724.799874592,3.2453855210414626,0,0,-6.162596052251578,10.501760251587008
