fid,fclass,name,ref,maxspeed,bridge,len,bridgeLen
152,trunk,Prithvi Highway,H04,0,0,591.205599,0
153,trunk,Prithvi Rajmarga,H04,0,0,128.1529595,0
154,trunk,Prithvi Highway,H04,0,0,380.0699344,0
155,trunk,Prithvi Highway,H04,0,0,890.9357566,0
156,trunk,Prithvi Highway,H04,0,0,3497.794477,0
157,trunk,,H04,0,1,65.83083292,65.83083292
158,trunk,Prithvi Highway,H04,0,0,30.60634215,0
159,trunk,Prithivi Highway,H04,0,0,197.0817017,0
161,trunk,Tribhuvan Rajpath,H02,40,0,266.3891936,0
162,trunk,Tribhuvan Rajpath,H02,40,0,1710.190756,0
163,trunk,Prithvi Highway,H04,0,0,5590.440417,0
164,trunk,Prithvi Highway,H04,0,0,213.5066749,0
165,trunk,Prithvi Highway,H04,0,0,125.1962138,0
166,trunk,Prithvi Highway,H04,0,0,638.8933552,0
167,trunk,Prithvi Highway,H04,0,0,138.3677311,0
168,trunk,Prithvi Highway,H04,0,0,9.977420798,0
169,trunk,Prithvi Highway,H04,0,0,188.2820942,0
170,trunk,Prithvi Highway,H04,0,0,298.9871179,0
171,trunk,Prithvi Highway,H04,0,0,386.6124129,0
172,trunk,Prithvi Highway,H04,0,0,678.6194224,0
