fid,field_1_1,Name,osm_id,ref,oneway,maxspeed,bridge,tunnel,y,x,z
57,"2545",Prithvi Highway,"108218584",H04,B,"0",F,F,28.200829299999999,84.010619800000001,832.000000000000000
58,"2547",Prithvi Highway,"108218584",H04,B,"0",F,F,28.200416300000001,84.011514199999993,830.500000000000000
59,"2549",Prithvi Highway,"108218584",H04,B,"0",F,F,28.200343300000000,84.011647499999995,830.200000000000045
60,"2551",Prithvi Highway,"108218584",H04,B,"0",F,F,28.200098900000000,84.012089099999997,829.200000000000045
61,"2553",Prithvi Highway,"108218584",H04,B,"0",F,F,28.199847299999998,84.012494099999998,825.799999999999955
62,"2555",Prithvi Highway,"108218584",H04,B,"0",F,F,28.199192799999999,84.013546500000004,825.700000000000045
63,"2557",Prithvi Highway,"108218584",H04,B,"0",F,F,28.199023400000002,84.013815500000007,825.299999999999955
64,"2559",Prithvi Highway,"108218584",H04,B,"0",F,F,28.199002400000001,84.013848899999999,825.100000000000023
65,"2561",Prithvi Highway,"108218584",H04,B,"0",F,F,28.198517899999999,84.014618499999997,820.000000000000000
66,"2563",Prithvi Highway,"108218584",H04,B,"0",F,F,28.198299800000001,84.014977599999995,820.799999999999955
67,"2565",Prithvi Highway,"108218584",H04,B,"0",F,F,28.198117100000001,84.015254299999995,821.100000000000023
68,"2567",Prithvi Highway,"108218584",H04,B,"0",F,F,28.197076599999999,84.016896500000001,816.100000000000023
69,"2569",Prithvi Highway,"108218584",H04,B,"0",F,F,28.197007299999999,84.017005800000007,815.899999999999977
70,"2571",Prithvi Highway,"108218584",H04,B,"0",F,F,28.196934100000000,84.017111999999997,815.399999999999977
71,"2573",Prithvi Highway,"108218584",H04,B,"0",F,F,28.196380200000000,84.018011999999999,812.200000000000045
72,"2575",Prithvi Highway,"108218584",H04,B,"0",F,F,28.195640099999999,84.019167800000005,813.299999999999955
73,"2577",Prithvi Highway,"108218584",H04,B,"0",F,F,28.194599300000000,84.020859799999997,808.399999999999977
74,"2579",Prithvi Highway,"108218584",H04,B,"0",F,F,28.193954000000002,84.022053400000004,803.299999999999955
75,"2583",Prithvi Highway,"108218584",H04,B,"0",F,F,28.192840499999999,84.024067799999997,800.399999999999977
76,"10393",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192464500000000,84.024754200000004,799.100000000000023
77,"10395",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192324400000000,84.025020299999994,798.100000000000023
78,"10397",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192295800000000,84.025091900000007,797.200000000000045
79,"10399",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192274300000001,84.025175500000003,796.200000000000045
80,"10401",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192264900000001,84.025277200000005,795.000000000000000
81,"10403",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192264800000000,84.025368200000003,794.000000000000000
82,"10405",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192274999999999,84.025443199999998,793.100000000000023
83,"10407",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192305200000000,84.025530300000000,792.000000000000000
84,"10409",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192338800000002,84.025606199999999,791.200000000000045
85,"10411",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192385200000000,84.025672599999993,790.200000000000045
86,"10413",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192444399999999,84.025734299999996,789.000000000000000
87,"10415",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192521599999999,84.025805000000005,787.399999999999977
88,"10417",Prithvi Highway,"421310977",H04,B,"0",F,F,28.192886200000000,84.026000900000000,783.100000000000023
89,"10419",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193156200000001,84.026167400000006,780.399999999999977
90,"10421",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193222100000000,84.026212400000006,780.799999999999955
91,"10423",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193278500000002,84.026260100000002,781.100000000000023
92,"10425",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193323100000001,84.026313200000004,781.399999999999977
93,"10429",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193551100000001,84.026619199999999,780.000000000000000
94,"10431",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193614900000000,84.026753799999994,778.799999999999955
95,"10433",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193639099999999,84.026856800000004,777.399999999999977
96,"10435",Prithvi Highway,"421310977",H04,B,"0",F,F,28.193641700000001,84.026937799999999,776.299999999999955
97,"326",Prithvi Highway,"24811306",H04,B,"0",T,F,28.193634800000002,84.027008100000003,775.299999999999955
98,"327",Prithvi Highway,"24811306",H04,B,"0",T,F,28.193390500000000,84.027795499999996,777.000000000000000
99,"10461",Prithvi Highway,"478266440",H04,B,"0",F,F,28.193337499999998,84.027989300000002,780.000000000000000
100,"10463",Prithvi Highway,"478266440",H04,B,"0",F,F,28.193273099999999,84.028177499999998,781.899999999999977
101,"10465",Prithvi Highway,"478266440",H04,B,"0",F,F,28.193244000000000,84.028279999999995,782.799999999999955
102,"10467",Prithvi Highway,"478266440",H04,B,"0",F,F,28.193207800000000,84.028361000000004,783.299999999999955
103,"10469",Prithvi Highway,"478266440",H04,B,"0",F,F,28.193163800000001,84.028431900000001,783.700000000000045
104,"10471",Prithvi Highway,"478266440",H04,B,"0",F,F,28.193084400000000,84.028513500000003,784.100000000000023
105,"10473",Prithvi Highway,"478266440",H04,B,"0",F,F,28.192302900000001,84.029031500000002,786.299999999999955
106,"10475",Prithvi Highway,"478266440",H04,B,"0",F,F,28.192101099999999,84.029167099999995,789.399999999999977
107,"10477",Prithvi Highway,"478266440",H04,B,"0",F,F,28.191776300000001,84.029431599999995,793.799999999999955
108,"10479",Prithvi Highway,"478266440",H04,B,"0",F,F,28.191299200000000,84.029893799999996,792.100000000000023
109,"10481",Prithvi Highway,"478266440",H04,B,"0",F,F,28.190716699999999,84.030467400000006,792.100000000000023
110,"10483",Prithvi Highway,"478266440",H04,B,"0",F,F,28.190296700000001,84.030874200000000,790.100000000000023
111,"10485",Prithvi Highway,"478266440",H04,B,"0",F,F,28.190038200000000,84.031137999999999,790.100000000000023
112,"10487",Prithvi Highway,"478266440",H04,B,"0",F,F,28.189801700000000,84.031369900000001,789.600000000000023
113,"10489",Prithvi Highway,"478266440",H04,B,"0",F,F,28.189279899999999,84.031885799999998,786.899999999999977
114,"10491",Prithvi Highway,"478266440",H04,B,"0",F,F,28.188835500000000,84.032326900000001,786.299999999999955
115,"10493",Prithvi Highway,"478266440",H04,B,"0",F,F,28.188719599999999,84.032443999999998,785.500000000000000
116,"10495",Prithvi Highway,"478266440",H04,B,"0",F,F,28.188100200000001,84.033061500000002,783.799999999999955
117,"10497",Prithvi Highway,"478266440",H04,B,"0",F,F,28.187020700000001,84.034151199999997,783.200000000000045
118,"10499",Prithvi Highway,"478266440",H04,B,"0",F,F,28.186410599999999,84.034747800000005,781.000000000000000
119,"10501",Prithvi Highway,"478266440",H04,B,"0",F,F,28.185595800000002,84.035558399999999,780.000000000000000
120,"10503",Prithvi Highway,"478266440",H04,B,"0",F,F,28.184780000000000,84.036363399999999,778.799999999999955
121,"10505",Prithvi Highway,"478266440",H04,B,"0",F,F,28.184544800000001,84.036596900000006,777.500000000000000
122,"10507",Prithvi Highway,"478266440",H04,B,"0",F,F,28.184393900000000,84.036767299999994,776.700000000000045
123,"10509",Prithvi Highway,"478266440",H04,B,"0",F,F,28.183879399999999,84.037299200000007,775.000000000000000
124,"10511",Prithvi Highway,"478266440",H04,B,"0",F,F,28.183421400000000,84.037851599999996,773.500000000000000
125,"10513",Prithvi Highway,"478266440",H04,B,"0",F,F,28.183368000000002,84.037919200000005,773.600000000000023
126,"10515",Prithvi Highway,"478266440",H04,B,"0",F,F,28.183216500000000,84.038081899999995,773.100000000000023
127,"10517",Prithvi Highway,"478266440",H04,B,"0",F,F,28.182649399999999,84.038722699999994,770.600000000000023
128,"10519",Prithvi Highway,"478266440",H04,B,"0",F,F,28.182107400000000,84.039357499999994,767.200000000000045
129,"10521",Prithvi Highway,"478266440",H04,B,"0",F,F,28.181993700000000,84.039490200000003,767.000000000000000
130,"10523",Prithvi Highway,"478266440",H04,B,"0",F,F,28.181743699999998,84.039811799999995,766.000000000000000
131,"10525",Prithvi Highway,"478266440",H04,B,"0",F,F,28.181448300000000,84.040252199999998,765.000000000000000
132,"10527",Prithvi Highway,"478266440",H04,B,"0",F,F,28.181195800000001,84.040640800000006,764.000000000000000
133,"10529",Prithvi Highway,"478266440",H04,B,"0",F,F,28.180964700000001,84.041014300000001,764.200000000000045
134,"10531",Prithvi Highway,"478266440",H04,B,"0",F,F,28.180736300000000,84.041392799999997,763.299999999999955
135,"10533",Prithvi Highway,"478266440",H04,B,"0",F,F,28.180238599999999,84.042164999999997,761.100000000000023
136,"10535",Prithvi Highway,"478266440",H04,B,"0",F,F,28.179827899999999,84.042845700000001,759.000000000000000
137,"10537",Prithvi Highway,"478266440",H04,B,"0",F,F,28.179585400000001,84.043226700000005,757.799999999999955
138,"10539",Prithvi Highway,"478266440",H04,B,"0",F,F,28.179375000000000,84.043573100000003,757.799999999999955
