id,lat,lon,alt,x,y,z,length,grade,hz. angle
1,28.2092159,83.9863581,849.0,588923.7831169963,5590431.100733039,2995131.055504176,0,0,0
2,28.2091954,83.9864029,848.8,588919.5064744013,5590432.458821763,2995128.9631256093,4.950972120063884,-4.0396107097744025,0
3,28.2088555,83.9871466,842.6,588848.2439276334,5590452.45779314,2995092.9072476956,82.3306489717145,-7.530609897329976,1.9416104561344307
4,28.2087876,83.9872951,842.0,588834.0734183744,5590457.011682527,2995086.0063827094,16.406193305238794,-3.657155495104595,2.1393951193727845
5,28.2086648,83.9875638,840.2,588808.3665871968,5590464.622316171,2995073.187961312,29.7165751859166,-6.057225601330458,1.3238813042203192
6,28.2084004,83.9881421,839.6,588753.3425367643,5590483.876467639,2995047.136961916,63.8515704133546,-0.9396793158191961,2.794442161819317
7,28.2083548,83.9882418,839.7,588743.8751229803,5590487.375032568,2995042.7402259028,11.009231031048362,0.908328653636222,0.9950759276143206
8,28.2082043,83.9885707,840.0,588712.6406556971,5590498.893783317,2995028.214853167,36.32161915976302,0.8259543680593778,0.038031165007441754
9,28.2079588,83.9891073,841.3,588661.7559795385,5590518.394393579,2995004.9037568155,59.26998634612404,2.193352960144503,0.7252722848674643
10,28.2078697,83.9893019,842.0,588643.3238487698,5590525.670109584,2994996.551237284,21.504512795723656,3.255130709770119,0.5722338548818198
11,28.2071383,83.9910354,842.5,588478.2558495774,5590582.191828671,2994925.507473427,188.38621358511915,0.26541220319929804,2.6386787889866237
12,28.2070913,83.9911404,842.5,588468.2694737078,5590585.729892181,2994920.9269745294,11.542381321102855,0.0,0.6067175219192436
13,28.207054,83.9912213,842.2,588460.5535173748,5590588.249867858,2994917.150013425,8.952747887128934,-3.350926484049154,1.4220138322155087
14,28.2070044,83.9913444,841.6,588448.7600011538,5590591.584008558,2994912.0325264824,13.28127221561029,-4.517639502146535,2.300555432626076
15,28.20693,83.9915307,841.9,588431.0194003495,5590597.653795924,2994904.923482405,20.052674217284444,1.4960598110219578,3.1018127650514056
16,28.206901,83.9916288,842.3,588421.6439885696,5590600.52947821,2994902.286274886,10.154937624079158,3.9389705265299346,1.835784988353992
17,28.2068152,83.991817,842.6,588403.7807350861,5590607.215265561,2994894.066204813,20.769331465646026,1.444437441312398,3.467532725726074
18,28.2067703,83.9919472,843.4,588391.3976226201,5590611.603187235,2994890.068477165,13.732339833768117,5.825664159815922,1.0080287212221704
19,28.2067242,83.9920947,844.8,588377.3884023583,5590616.757377733,2994886.237389721,15.411072741116293,9.084377340357483,0.6876426087210299
20,28.2066621,83.9923423,846.4,588353.7184894851,5590623.95202961,2994880.9415028254,25.299687924436856,6.3241886808200105,3.292231040147575
21,28.2066271,83.9925284,846.9,588335.7986841522,5590628.132828819,2994877.7668022458,18.67290092518366,2.6776771429535238,3.77451189452174
22,28.2065926,83.9927249,846.9,588316.815211325,5590631.955985951,2994874.404502914,19.654359003555015,0.0,1.7458313429619892
23,28.206477,83.9933945,847.2,588252.143199151,5590645.143582956,2994863.2801509057,66.93379625407593,0.4482040714697991,0.13874876157800653
24,28.2062133,83.9946961,844.9,588126.3788735142,5590670.289678113,2994836.493337602,131.02108636199958,-1.7554426267275585,0.21849104389776783
25,28.2061855,83.9948455,845.0,588111.963335015,5590673.365665363,2994833.8312615827,14.978521172696059,0.6676226501072084,0.7381643814852378
26,28.2060437,83.9956297,845.2,588036.2433923639,5590689.0104177715,2994820.1061928673,78.5279918516248,0.2546862529961758,0.3713220605682374
27,28.2058763,83.9965068,842.5,587951.3318939273,5590704.405479937,2994802.5155058024,88.07044213149561,-3.0657277681980384,1.3973079595259779
28,28.205685,83.9974987,842.4,587855.5893880872,5590724.506466937,2994783.82440408,99.59936940833201,-0.1004022420965822,1.5804469621537873
29,28.2056383,83.9977363,841.6,587832.5884298711,5590728.686902404,2994778.894970586,23.89182776842771,-3.348425276433346,1.5558559491875446
30,28.2054722,83.9985837,840.7,587750.7328059277,5590745.283616467,2994762.2816871298,85.15747340114663,-1.0568655504378304,1.1605900853977171
31,28.2052338,83.9998581,842.4,587627.8485107315,5590772.320762584,2994739.8509340254,127.80726098639866,1.3301278713584568,0.9468930877879365
32,28.2051974,84.0000821,841.8,587606.1361044659,5590775.997031709,2994736.019842386,22.352199079106764,-2.6842996426282717,2.7985947531023965
33,28.2051159,84.0005889,843.5,587557.288629043,5590786.949226244,2994728.8803877565,50.56677004446796,3.361891610844594,3.027426998002532
34,28.2051079,84.0007665,843.1,587539.965990523,5590788.838520168,2994727.911661898,17.452268237008106,-2.291965689318046,6.413044400540955
35,28.2050919,84.0008992,842.5,587527.0501583494,5590790.510698171,2994726.0687361183,13.153375058810525,-4.56156687783433,1.1525330393106024
