fid,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,bridgeLen
62,Madi Bridge,216519794,5112,trunk,H04,B,0,1,F,357.6611937,357.6611937
61,Prithvi Highway,216519784,5112,trunk,H04,B,0,0,F,12.83871021,0
114,Prithvi Highway,340931655,5112,trunk,H04,B,0,1,F,28.86099284,28.86099284
64,Prithvi Highway,216522096,5112,trunk,H04,B,0,1,F,44.64447352,44.64447352
63,Prithvi Highway,216522094,5112,trunk,H04,B,0,0,F,41.54126219,0
13000,Cut/Fill,,,,H04,,,0,F,53.25683878,0
115,Prithvi Highway,340931656,5112,trunk,H04,B,0,0,F,29.40304547,0
26000,Cut,,,,H04,,,0,F,73.84043135,0
110,Prithvi Highway,340816486,5112,trunk,H04,B,0,1,F,58.88422325,58.88422325
60,Tribhuvan Rajpath,216281900,5112,trunk,H02,B,60,0,F,46.56601676,0
17000,Cut/Fill,,,,H04,,,0,F,88.84773166,0
111,Prithvi Highway,340844083,5112,trunk,H04,B,0,0,F,10.34473838,0
69,Prithvi Highway,216643914,5112,trunk,H04,B,0,1,F,26.9334522,26.9334522
1000,Cut,,,,H04,,,0,F,93.92377993,0
66,Prithvi Highway,216638400,5112,trunk,H04,B,0,0,F,11.99206621,0
65,Prithvi Highway,216638398,5112,trunk,H04,B,0,1,F,55.58398333,55.58398333
68,Prithvi Highway,216640247,5112,trunk,H04,B,0,1,F,25.28205757,25.28205757
67,Prithvi Highway,216640246,5112,trunk,H04,B,0,0,F,88.59492604,0
8,Prithvi Highway,24811305,5112,trunk,H04,B,0,0,F,16.84044032,0
6000,Bridge,,,,H04,,,1,F,107.0497494,107.0497494
7,Seti Bridge,24811177,5112,trunk,H04,B,0,1,F,188.4997196,188.4997196
109,Prithvi Highway,340816475,5112,trunk,H04,B,0,0,F,15.9924144,0
9,Prithvi Highway,24811306,5112,trunk,H04,B,0,1,F,81.91484336,81.91484336
152,Prithvi Highway,421022100,5112,trunk,H04,B,0,0,F,14.98727421,0
21000,Cut/Fill,,,,H04,,,0,F,58.89919197,0
151,Prithvi Highway,378605309,5112,trunk,H04,B,0,0,F,108.1808165,0
28000,Cut,,,,H04,,,0,F,101.9253504,0
25000,Cut,,,,H04,,,0,F,54.63145251,0
20,Prithvi Highway,108218594,5112,trunk,H04,F,0,0,F,7.691684162,0
158,Prithvi Highway,524570544,5112,trunk,H04,F,0,0,F,17.45840416,0
157,,478266511,5112,trunk,H04,B,0,1,F,28.73300082,28.73300082
29000,Cut,,,,H04,,,0,F,68.54899613,0
159,Prithivi Highway,524596051,5112,trunk,H04,B,0,0,F,4.950194008,0
154,Prithvi Highway,421310977,5112,trunk,H04,B,0,0,F,79.2365618,0
15000,Cut/Fill,,,,H04,,,0,F,87.69272488,0
153,Prithvi Rajmarga,421041683,5112,trunk,H04,B,0,0,F,11.01535732,0
12000,Cut/Fill,,,,H04,,,0,F,41.07385036,0
53,Tribhuvan Rajpath,188865973,5112,trunk,H02,B,30,0,F,27.4393863,0
156,Prithvi Highway,478266440,5112,trunk,H04,B,0,0,F,19.91428915,0
28,Gardo Khola,140332468,5112,trunk,H04,B,0,1,F,31.1390687,31.1390687
155,Prithvi Highway,421310978,5112,trunk,H04,B,0,0,F,23.15595259,0
27,Galaundi khola,140332466,5112,trunk,H04,B,0,1,F,26.02451882,26.02451882
19000,Cut/Fill,,,,H04,,,0,F,115.5900915,0
2000,Cut,,,,H04,,,0,F,93.80692324,0
6,Prithvi Highway,24811176,5112,trunk,H04,B,0,0,F,11.54940988,0
24,Charaudi Khola,140332459,5112,trunk,H04,B,0,1,F,59.77249225,59.77249225
