fid,field_1,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,distance,angle,y,x,z
"749","6359",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,39.90634376,0.000404472,98.71708358,28.0032364,84.1551471,507.9
"750","6361",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,31.27355391,0.000316574,100.372836,28.0031794,84.1554585,509.6
"751","6363",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,13.21608347,0.000132918,106.5671219,28.0031415,84.1555859,510
"752","6365",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,9.718664544,9.67e-05,113.7820304,28.0031025,84.1556744,509.5
"753","6367",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,40.37759914,0.00039814,118.9469763,28.0029098,84.1560228,507.9
"754","6369",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,17.98240102,0.000176714,120.7302152,28.0028195,84.1561747,507.9
"755","6371",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,14.80193157,0.000144911,122.6592057,28.0027413,84.1562967,508.2
"756","6373",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,7.495727191,7.34e-05,122.758687,28.0027016,84.1563584,508.3
"757","6375",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,14.09207742,0.000137232,125.2998568,28.0026223,84.1564704,508.9
"758","6377",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,40.25381483,0.000389583,128.3083894,28.0023808,84.1567761,510.5
"759","6379",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,4.431374124,4.24e-05,133.281642,28.0023517,84.156807,510.6
"760","6381",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,4.986378665,4.67e-05,143.963615,28.0023139,84.1568345,510.8
"761","6383",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,28.2866508,0.00026617,142.0192908,28.0021041,84.1569983,511.1
"762","6385",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,45.48165635,0.000423696,147.3638999,28.0017473,84.1572268,510.7
"763","6387",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,27.72638956,0.00025793,148.1523782,28.0015282,84.1573629,511.2
"764","6389",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,43.06185873,0.000402437,145.6109973,28.0011961,84.1575902,511.9
"765","6391",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,24.90040126,0.000235654,139.1297131,28.0010179,84.1577444,511.6
"766","6393",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,47.8433746,0.000457997,133.5579552,28.0007023,84.1580763,511.4
"767","6395",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,50.52716902,0.000487552,129.7408709,28.0003906,84.1584512,511.2
"768","6397",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,15.16272769,0.000146555,128.9345621,28.0002985,84.1585652,511.1
"769","6399",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,53.7792769,0.000517617,130.9578804,27.9999592,84.1589561,513.8
"770","6401",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,14.75625297,0.000140929,134.6837696,27.9998601,84.1590563,515.5
"771","6403",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,59.05614402,0.000563155,135.4172647,27.999459,84.1594516,516.5
"772","6405",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,50.39551733,0.000480563,135.4215329,27.9991167,84.1597889,513.5
"773","6407",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,18.00149736,0.000172935,131.8591554,27.9990013,84.1599177,514.5
"774","6409",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,11.85389001,0.000115021,127.0492266,27.998932,84.1600095,514.5
"775","6411",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,23.86755946,0.000233141,123.7718602,27.9988024,84.1602033,516.6
"776","6413",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,16.13526363,0.000158778,120.0044807,27.998723,84.1603408,515.7
"777","6415",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,9.862125069,9.71e-05,119.5473357,27.9986751,84.1604253,514.9
"778","6417",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,9.404249962,9.34e-05,115.1651933,27.9986354,84.1605098,513.7
"779","6419",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,32.30827296,0.000325671,104.6378974,27.9985531,84.1608249,508.2
"780","6421",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,9.633441407,9.72e-05,103.3788501,27.9985306,84.1609195,507.6
"781","6423",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,169.0878172,0.001714114,98.38300482,27.9982807,84.1626153,508.1
"782","6425",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,100.7911557,0.001021982,98.05478102,27.9981375,84.1636272,509.2
"783","6427",Prithvi Highway,"216640246","5112",trunk,H04,B,"0",F,F,50.95523357,0.000515834,100.2511988,27.9980457,84.1641348,512.1
