id,fid,X,Y,Z,name,ref,oneway,maxspeed,bridge,tunnel
80,154,502679.0636,3119163.333,797.2,Prithvi Highway,H04,B,0,F,F
81,154,502687.2717,3119160.952,796.2,Prithvi Highway,H04,B,0,F,F
82,154,502697.2564,3119159.913,795,Prithvi Highway,H04,B,0,F,F
83,154,502706.1905,3119159.903,794,Prithvi Highway,H04,B,0,F,F
84,154,502713.5534,3119161.035,793.1,Prithvi Highway,H04,B,0,F,F
85,154,502722.1039,3119164.383,792,Prithvi Highway,H04,B,0,F,F
86,154,502729.5547,3119168.108,791.2,Prithvi Highway,H04,B,0,F,F
87,154,502736.0725,3119173.251,790.2,Prithvi Highway,H04,B,0,F,F
88,154,502742.1286,3119179.813,789,Prithvi Highway,H04,B,0,F,F
89,154,502749.0678,3119188.369,787.4,Prithvi Highway,H04,B,0,F,F
90,154,502768.2918,3119228.774,783.1,Prithvi Highway,H04,B,0,F,F
91,154,502784.6316,3119258.697,780.4,Prithvi Highway,H04,B,0,F,F
92,154,502789.048,3119266,780.8,Prithvi Highway,H04,B,0,F,F
93,154,502793.7296,3119272.251,781.1,Prithvi Highway,H04,B,0,F,F
94,154,502798.9416,3119277.194,781.4,Prithvi Highway,H04,B,0,F,F
95,154,502804.1538,3119281.351,781.5,Prithvi Highway,H04,B,0,F,F
96,154,502828.9777,3119302.466,780,Prithvi Highway,H04,B,0,F,F
97,154,502842.1905,3119309.538,778.8,Prithvi Highway,H04,B,0,F,F
98,154,502852.302,3119312.222,777.4,Prithvi Highway,H04,B,0,F,F
99,154,502860.2541,3119312.512,776.3,Prithvi Highway,H04,B,0,F,F
100,154,502867.156,3119311.749,775.3,Prithvi Highway,H04,B,0,F,F
101,9,502944.4652,3119284.695,777,Prithvi Highway,H04,B,0,T,F
102,156,502963.4929,3119278.827,780,Prithvi Highway,H04,B,0,F,F
103,156,502981.9712,3119271.695,781.9,Prithvi Highway,H04,B,0,F,F
104,156,502992.0349,3119268.473,782.8,Prithvi Highway,H04,B,0,F,F
105,156,502999.9881,3119264.463,783.3,Prithvi Highway,H04,B,0,F,F
106,156,503006.9498,3119259.589,783.7,Prithvi Highway,H04,B,0,F,F
107,156,503014.963,3119250.793,784.1,Prithvi Highway,H04,B,0,F,F
108,156,503065.8387,3119164.206,786.3,Prithvi Highway,H04,B,0,F,F
109,156,503079.1568,3119141.848,789.4,Prithvi Highway,H04,B,0,F,F
110,156,503105.1332,3119105.862,793.8,Prithvi Highway,H04,B,0,F,F
111,156,503150.5235,3119053.006,792.1,Prithvi Highway,H04,B,0,F,F
112,156,503206.8541,3118988.472,792.1,Prithvi Highway,H04,B,0,F,F
113,156,503246.8047,3118941.942,790.1,Prithvi Highway,H04,B,0,F,F
114,156,503272.7114,3118913.304,790.1,Prithvi Highway,H04,B,0,F,F
115,156,503295.4858,3118887.103,789.6,Prithvi Highway,H04,B,0,F,F
116,156,503346.1513,3118829.295,786.9,Prithvi Highway,H04,B,0,F,F
117,156,503389.4712,3118780.063,786.3,Prithvi Highway,H04,B,0,F,F
118,156,503400.9714,3118767.223,785.5,Prithvi Highway,H04,B,0,F,F
119,156,503461.616,3118698.603,783.8,Prithvi Highway,H04,B,0,F,F
