fid,X,Y,Z,bridge,osm_id,code,fclass,name,ref,oneway,maxspeed,tunnel,len,Length,vertex_index,vertex_part,vertex_part_index,distance,angle,
1003,621327.9361,3068457.049,1351.478,F,,,,,,,0,F,,1984.075554,23,0,23,1496.979089,21.61953673,FALSE
1003,621417.4747,3068516.553,1346.484,F,,,,,,,0,F,,1984.075554,24,0,24,1604.48644,344.3153386,FALSE
1003,621344.9371,3068519.386,1339.946,F,,,,,,,0,F,,1984.075554,25,0,25,1677.07937,251.5221198,FALSE
1003,621297.1673,3068480.436,1335.952,F,,,,,,,0,F,,1984.075554,26,0,26,1738.715889,217.4379919,FALSE
1003,621258.0801,3068392.928,1327.304,F,,,,,,,0,F,,1984.075554,27,0,27,1834.557228,250.0859815,FALSE
1003,621218.0433,3068412.544,1324.363,F,,,,,,,0,F,,1984.075554,28,0,28,1879.141512,331.0002427,FALSE
1003,621223.5871,3068466.216,1316.554,F,,,,,,,0,F,,1984.075554,29,0,29,1933.098883,30.55970707,FALSE
1004,621265.5913,3068495.386,1311.993,F,,,,,,,0,F,,10908.6883,0,0,0,0,26.81658653,FALSE
1004,621315.752,3068594.616,1306.989,F,,,,,,,0,F,,10908.6883,1,0,1,111.1877388,357.5912039,FALSE
1004,621211.1959,3068764.343,1302.669,F,,,,,,,0,F,,10908.6883,2,0,2,310.5345088,244.9184982,FALSE
1004,621263.3323,3068608.783,1293.943,F,,,,,,,0,F,,10908.6883,3,0,3,474.5980954,244.0981435,FALSE
1004,621191.9281,3068717.59,1278.282,F,,,,,,,0,F,,10908.6883,4,0,4,604.7418502,326.4777335,FALSE
1004,621129.0244,3068811.662,1274.37,F,,,,,,,0,F,,10908.6883,5,0,5,717.9074707,244.4642908,FALSE
1004,621159.3428,3068714.331,1265.634,F,,,,,,,0,F,,10908.6883,6,0,6,819.8509903,194.7440686,FALSE
1004,621140.6417,3068696.764,1264.841,F,,,,,,,0,F,,10908.6883,7,0,7,845.5094274,280.2573239,FALSE
1004,621101.8228,3068775.393,1257.986,F,,,,,,,0,F,,10908.6883,8,0,8,933.1993974,322.5571511,FALSE
1004,621062.4371,3068810.104,1249.536,F,,,,,,,0,F,,10908.6883,9,0,9,985.6974001,324.4550653,FALSE
1004,621028.4351,3068892.275,1242.55,F,,,,,,,0,F,,10908.6883,10,0,10,1074.625987,326.8791582,FALSE
1004,620978.404,3068944.516,1234.426,F,,,,,,,0,F,,10908.6883,11,0,11,1146.960072,314.6706163,FALSE
1004,620887.395,3069029.691,1226.376,F,,,,,,,0,F,,10908.6883,12,0,12,1271.609238,324.991805,FALSE
1004,620847.8819,3069122.239,1217.712,F,,,,,,,0,F,,10908.6883,13,0,13,1372.239542,331.9362548,FALSE
1004,620833.7231,3069144.036,1210.623,F,,,,,,,0,F,,10908.6883,14,0,14,1398.230956,332.4414665,FALSE
1004,620803.3868,3069218.71,1206.67,F,,,,,,,0,F,,10908.6883,15,0,15,1478.831819,325.9542868,FALSE
1004,620749.8723,3069270.42,1196.337,F,,,,,,,0,F,,10908.6883,16,0,16,1553.248307,288.7180387,FALSE
1004,620689.1997,3069263.42,1186.638,F,,,,,,,0,F,,10908.6883,17,0,17,1614.323486,265.9957847,FALSE
1004,620580.5315,3069260.714,1175.324,F,,,,,,,0,F,,10908.6883,18,0,18,1723.0253,266.33711,FALSE
1004,620413.9735,3069243.504,1152.865,F,,,,,,,0,F,,10908.6883,19,0,19,1890.470108,271.0039343,FALSE
1004,620245.957,3069266.839,1136.07,F,,,,,,,0,F,,10908.6883,20,0,20,2060.099408,288.4808834,FALSE
1004,620077.9405,3069360.182,1116.34,F,,,,,,,0,F,,10908.6883,21,0,21,2252.303392,305.4940593,FALSE
1004,619940.2603,3069483.861,1092.601,F,,,,,,,0,F,,10908.6883,22,0,22,2437.377126,290.9177865,FALSE
1004,619598.9767,3069483.277,1068.051,F,,,,,,,0,F,,10908.6883,23,0,23,2778.661163,291.8049459,FALSE
1004,619440.2945,3069634.959,1058.047,F,,,,,,,0,F,,10908.6883,24,0,24,2998.177357,277.6744348,FALSE
1004,619234.941,3069524.115,1047.542,F,,,,,,,0,F,,10908.6883,25,0,25,3231.536539,258.8425644,FALSE
1004,618937.4117,3069555.618,1022.213,F,,,,,,,0,F,,10908.6883,26,0,26,3530.72894,276.8193678,FALSE
1004,618727.3911,3069583.62,1012.885,F,,,,,,,0,F,,10908.6883,27,0,27,3742.608205,269.7162929,FALSE
1004,618434.529,3069541.616,995.207,F,,,,,,,0,F,,10908.6883,28,0,28,4038.467232,261.6004055,FALSE
1004,618158.0018,3069499.612,984.812,F,,,,,,,0,F,,10908.6883,29,0,29,4318.166401,269.7464855,FALSE
1004,618043.6572,3069515.947,984.396,F,,,,,,,0,F,,10908.6883,30,0,30,4433.671859,302.9088119,FALSE
1004,617957.3154,3069652.461,985.162,F,,,,,,,0,F,,10908.6883,31,0,31,4595.198396,294.0637124,FALSE
