id,X,Y,Z,length,bridge,tunnel,grade,hz. angle
1,626743.8428,3066130.88,1308.9,0,0,0,0,0
2,625732.6091,3066608.99,1377.7,1120.6766742089242,0,0,6.139148032911925,0
3,624982.6199,3067022.027,1350.4,856.6379944207434,0,0,-3.186877091350606,3.537904550070427
4,624488.0618,3067418.761,1368.5,634.2816338439649,0,0,2.853621961321453,9.89392116526386
5,623955.4608,3067424.195,1361.8,532.6708585581011,0,0,-1.2578123793249039,38.15199542274035
6,623738.0726,3067739.408,1363.7,382.91053115349604,0,0,0.4961994631687067,54.82316587185394
7,623161.9939,3067804.625,1374.9,579.8666792312358,0,0,1.9314784589534546,48.948850917136156
8,622876.6719,3068136.142,1394.1,437.81366467142163,0,0,4.385427306022845,42.824009538964255
9,622509.8294,3068429.616,1406.0,469.9383134860825,0,0,2.53224724575527,10.623071024966661
10,622379.3965,3068649.721,1430.2,256.99142481298,0,0,9.416656613196755,20.68946456480473
11,622401.1353,3068867.109,1463.6,221.01058338811228,0,0,15.112398459827052,36.361320318580525
12,622121.248,3068897.0,1512.1,285.62671895718785,0,0,16.980204154944477,89.6147066365874
13,621914.7292,3068921.456,1513.9,207.9695907806262,0,0,0.8655111515312287,0.6576400146936718
14,621789.731,3068785.589,1507.4,184.73397546773947,0,0,-3.51857311766406,54.13934264607304
15,621816.9045,3068516.571,1501.8,270.44489905770024,0,0,-2.070662090323012,48.38206531381192
16,621751.8457,3068470.592,1508.2,79.92293724847123,0,0,8.00771370564526,60.51788966110801
17,621555.8265,3068227.901,1502.4,312.0193715936318,0,0,-1.8588589453201536,15.822529468287525
18,621436.8148,3068034.216,1487.4,227.82156167029387,0,0,-6.584100244957579,7.358414219564789
19,621376.1422,3067992.212,1487.9,73.7953278113317,0,0,0.6775496699172087,23.735850687983245
20,621250.1298,3068038.883,1480.2,134.5979093254055,0,0,-5.7207426464436635,55.01811795139972
21,621161.4544,3067959.542,1471.7,119.29195633467224,0,0,-7.125375642388952,62.1431501652456
22,621077.7395,3068014.964,1466.7,100.52254755049522,0,0,-4.974008440731532,75.32597822470407
