y,x,z
"28.12514400","84.09029570",636.000
"28.12506340","84.09036530",635.200
"28.12493950","84.09045560",633.800
"28.12464230","84.09061740",632.400
"28.12433240","84.09072340",633.000
"28.12360380","84.09094330",632.400
"28.12200710","84.09145030",629.400
"28.12022820","84.09200010",627.000
"28.11938360","84.09226430",626.900
"28.11852660","84.09251140",623.300
"28.11783410","84.09255800",624.800
"28.11738940","84.09253120",623.100
"28.11693950","84.09251670",621.000
"28.11604450","84.09245610",622.800
"28.11561040","84.09242530",622.800
"28.11517280","84.09237960",623.100
"28.11233540","84.09208540",611.200
"28.11152240","84.09200010",610.900
"28.11115450","84.09196120",609.300
"28.11096880","84.09192370",608.300
"28.11079580","84.09187080",607.400
"28.11050980","84.09174530",606.500
"28.11025190","84.09159830",604.300
"28.10976460","84.09123300",601.700
"28.10929680","84.09087960",601.400
"28.10904820","84.09067410",601.700
"28.10821020","84.09004480",597.400
"28.10736390","84.08939140",594.100
"28.10613960","84.08846770",589.500
"28.10580140","84.08819390",591.100
"28.10551070","84.08786680",591.500
"28.10523390","84.08751010",591.700
"28.10477660","84.08686560",594.700
"28.10468860","84.08676710",593.300
"28.10459160","84.08668260",590.000
"28.10436440","84.08652710",586.300
"28.10380110","84.08621740",580.900
"28.10291650","84.08573040",583.400
"28.10201880","84.08524190",582.900
"28.10143660","84.08491860",586.200
"28.10113010","84.08472730",580.400
"28.10083330","84.08451350",582.000
"28.10029060","84.08407090",576.100
"28.10000630","84.08382340",577.100
"28.09972240","84.08358690",579.400
"28.09944550","84.08338220",578.700
"28.09916890","84.08318950",577.900
"28.09857480","84.08282030",579.200
"28.09798440","84.08249960",577.300
"28.09755160","84.08233030",576.200
"28.09712100","84.08222610",573.700
"28.09653410","84.08211030",570.800
"28.09619820","84.08203660",570.700
"28.09601110","84.08197670",569.800
"28.09583680","84.08189170",566.900
"28.09570470","84.08179950",565.300
"28.09549530","84.08161330",562.300
"28.09545609","84.08157440",561.700
"28.09462919","84.08136484",565.900
"28.09378271","84.08136630",548.400
"28.09368750","84.08142150",548.400
"28.09304270","84.08179480",540.200
"28.09294400","84.08185010",538.300
"28.09255140","84.08207560",536.300
"28.09230900","84.08221230",538.600
"28.09220390","84.08225030",539.100
"28.09209560","84.08226010",539.100
"28.09200640","84.08225970",539.100
"28.09192450","84.08224720",539.300
"28.09182530","84.08221010",539.800
"28.09175000","84.08216210",539.800
"28.09155090","84.08204110",539.500
"28.09140590","84.08190780",538.700
"28.09089510","84.08145340",536.100
"28.09043630","84.08105400",536.800
"28.09031210","84.08093870",536.400
"28.09017840","84.08083950",535.100
"28.09001040","84.08073750",533.600
"28.08981640","84.08065920",532.100
"28.08946970","84.08055520",528.200
"28.08914260","84.08047590",527.100
"28.08864510","84.08033520",531.400
"28.08840370","84.08020510",532.000
"28.08817070","84.08006650",531.200
"28.08800140","84.07996370",530.300
"28.08783700","84.07984700",528.800
"28.08752230","84.07967270",526.600
"28.08746140","84.07965260",526.300
"28.08737320","84.07962580",525.900
"28.08728210","84.07960830",525.800
"28.08652600","84.07950410",524.400
"28.08607590","84.07943960",526.300
"28.08497430","84.07930690",524.000
"28.08478200","84.07927300",523.400
"28.08472990","84.07926110",523.300
"28.08468930","84.07924760",523.500
"28.08464860","84.07923190",523.700
"28.08459590","84.07920800",523.900
"28.08437740","84.07904160",525.000
"28.08418860","84.07888210",525.800
"28.08382860","84.07856540",527.100
"28.08344950","84.07819750",524.400
"28.08308320","84.07780370",521.400
"28.08302450","84.07773400",520.300
"28.08240880","84.07700310",519.100
"28.08162190","84.07588460",522.200
"28.08146600","84.07567550",521.600
"28.08130220","84.07547770",519.100
"28.08115080","84.07532350",518.200
"28.08079840","84.07499270",524.700
"28.08044970","84.07475380",528.200
"28.08015690","84.07456700",524.900
"28.07957010","84.07420670",532.000
"28.07948950","84.07415940",533.100
"28.07939720","84.07412320",532.200
"28.07935690","84.07411110",530.900
"28.07917350","84.07408570",527.300
"28.07885410","84.07402530",527.500
"28.07861030","84.07395420",531.200
"28.07858190","84.07394350",531.400
"28.07855820","84.07392810",531.500
"28.07806110","84.07339720",528.200
"28.07754070","84.07282910",524.800
"28.07728980","84.07254070",520.800
"28.07704260","84.07225750",518.500
"28.07682380","84.07207580",518.700
"28.07653840","84.07188890",517.600
"28.07621170","84.07173380",517.300
"28.07598110","84.07167040",516.100
"28.07577770","84.07163330",515.100
"28.07552900","84.07162470",513.500
"28.07530480","84.07165410",515.500
"28.07483230","84.07177210",518.100
"28.07380160","84.07205840",512.700
"28.07259580","84.07238830",509.800
"28.07227380","84.07246430",511.600
"28.07223910","84.07246800",511.600
"28.07220510","84.07246560",511.500
"28.07206080","84.07244410",511.100
"28.07197560","84.07241460",510.500
"28.07187580","84.07236200",510.800
"28.07163480","84.07219200",511.500
"28.07145490","84.07203380",514.000
"28.07125750","84.07179190",514.100
"28.07094840","84.07119960",509.800
"28.07081120","84.07077040",508.000
"28.07065790","84.07034400",508.000
"28.07043720","84.06995240",511.200
"28.07032240","84.06977530",513.200
"28.07017690","84.06961070",515.500
"28.06996160","84.06948170",517.400
"28.06982780","84.06944010",518.400
"28.06970570","84.06941700",519.500
"28.06962660","84.06941190",520.200
"28.06858160","84.06946290",523.300
"28.06694990","84.06960640",527.900
"28.06606350","84.06966810",528.600
"28.06576640","84.06972170",528.200
"28.06565760","84.06974850",528.700
"28.06555060","84.06977930",529.000
"28.06527380","84.06988990",531.000
"28.06492500","84.07002230",529.800
"28.06434990","84.07024880",532.500
"28.06381260","84.07042850",537.200
"28.06375560","84.07044680",537.100
"28.06371200","84.07045390",536.900
"28.06229190","84.07062700",531.100
"28.06082330","84.07078830",538.100
"28.05943800","84.07096890",536.500
"28.05820670","84.07130640",536.900
"28.05719910","84.07161020",535.800
"28.05348280","84.07272340",532.500
"28.05341350","84.07274420",532.300
"28.05159780","84.07328900",530.200
"28.04970710","84.07385470",525.900
"28.04854070","84.07420230",524.100
"28.04744730","84.07456680",528.300
"28.04706590","84.07473470",526.200
"28.04687890","84.07483800",523.700
"28.04670840","84.07493590",523.900
"28.04600290","84.07537300",522.300
"28.04328770","84.07708170",517.300
"28.04192650","84.07794000",517.000
"28.04056460","84.07878740",515.500
"28.03836840","84.08016890",513.500
"28.03617510","84.08154570",511.900
"28.03280030","84.08365390",505.300
"28.03270060","84.08372780",505.600
"28.03178660","84.08430540",503.700
"28.03131810","84.08458650",506.500
"28.03072800","84.08496660",509.100
"28.03068030","84.08499510",509.400
"28.02990220","84.08548910",512.800
"28.02971160","84.08560170",514.300
"28.02950830","84.08571970",514.900
"28.02920850","84.08595840",517.400
"28.02889250","84.08624380",520.000
"28.02876930","84.08638630",520.000
"28.02868530","84.08650560",520.100
"28.02798560","84.08747520",518.100
"28.02727420","84.08846770",514.000
"28.02669290","84.08927370",513.900
"28.02611040","84.09008230",513.000
"28.02586310","84.09042800",513.900
"28.02563810","84.09074890",513.300
"28.02509480","84.09149440",508.800
"28.02480230","84.09191700",508.300
"28.02470400","84.09205650",508.400
"28.02439740","84.09246820",508.900
"28.02424880","84.09267070",508.800
"28.02390960","84.09313410",511.300
"28.02367910","84.09344900",511.500
"28.02361730","84.09354640",512.200
"28.02352850","84.09370130",513.100
"28.02350240","84.09376970",513.400
"28.02346750","84.09386690",513.800
"28.02344910","84.09393200",513.900
"28.02343610","84.09399970",513.900
"28.02342960","84.09407680",513.900
"28.02342900","84.09416400",514.000
"28.02350100","84.09508910",506.100
"28.02363620","84.09651160",502.600
"28.02364330","84.09658670",502.300
"28.02367640","84.09699170",499.400
"28.02376760","84.09789160",488.200
"28.02377770","84.09793590",487.400
"28.02379310","84.09798210",486.600
"28.02383860","84.09807000",485.800
"28.02392390","84.09819740",486.200
"28.02413550","84.09840900",487.800
"28.02441100","84.09867110",484.400
"28.02448500","84.09876730",482.400
"28.02456550","84.09891150",479.500
"28.02471710","84.09959880",470.900
"28.02482770","84.10031500",468.500
"28.02492540","84.10086940",475.100
"28.02494020","84.10099020",478.400
"28.02493790","84.10105640",480.000
"28.02493190","84.10109680",480.900
"28.02491060","84.10116190",481.700
"28.02486620","84.10122160",481.600
"28.02481000","84.10128860",481.400
"28.02461450","84.10144740",480.500
"28.02401440","84.10188140",481.800
"28.02386050","84.10203230",482.200
"28.02366520","84.10226760",483.200
"28.02353670","84.10249230",485.400
"28.02339410","84.10284030",481.400
"28.02304310","84.10392250",475.300
"28.02278740","84.10468530",482.500
"28.02257010","84.10535820",483.300
"28.02255530","84.10541050",482.500
"28.02254110","84.10549430",481.600
"28.02253280","84.10554390",481.100
"28.02253700","84.10559150",480.800
"28.02254230","84.10563310",480.600
"28.02255890","84.10568140",480.700
"28.02257960","84.10572430",481.100
"28.02261100","84.10576250",482.000
"28.02276130","84.10590400",486.300
"28.02338110","84.10633520",490.000
"28.02362230","84.10651540",494.100
"28.02369480","84.10659940",494.800
"28.02374810","84.10667580",494.700
"28.02378770","84.10674560",494.200
"28.02382740","84.10684080",492.800
"28.02391130","84.10711790",493.300
"28.02424470","84.10844010",500.600
"28.02426900","84.10853660",500.300
"28.02430630","84.10861310",500.500
"28.02434060","84.10868480",500.600
"28.02439210","84.10875190",501.400
"28.02454603","84.10915068",506.200
"28.02441188","84.10959581",505.800
"28.02439740","84.10960820",505.500
"28.02432170","84.10969840",504.200
"28.02408610","84.11010500",507.200
"28.02395290","84.11035920",502.900
"28.02381790","84.11062740",499.500
"28.02360960","84.11102100",503.400
"28.02348940","84.11124300",502.100
"28.02335510","84.11148990",499.800
"28.02282290","84.11213460",494.100
"28.02179990","84.11337600",492.500
"28.02154090","84.11369800",487.900
"28.02129800","84.11401300",486.200
"28.02105050","84.11432030",486.100
"28.02088010","84.11452000",488.300
"28.02070480","84.11469540",492.000
"28.02052250","84.11486400",496.400
"28.01922170","84.11578390",494.600
"28.01917740","84.11581410",494.100
"28.01816560","84.11649940",488.600
"28.01680280","84.11726290",484.900
"28.01657370","84.11742240",486.300
"28.01642990","84.11757450",486.900
"28.01563180","84.11854060",487.800
"28.01522690","84.11904480",484.700
"28.01482210","84.11951230",485.100
"28.01475090","84.11956720",484.700
"28.01467990","84.11961080",484.300
"28.01459460","84.11965370",483.800
"28.01450870","84.11969030",483.300
"28.01444900","84.11970330",483.000
"28.01438510","84.11971340",483.000
"28.01425010","84.11971430",482.900
"28.01370430","84.11969130",482.800
"28.01317710","84.11964590",482.200
"28.01298480","84.11959820",484.300
"28.01277550","84.11949700",485.800
"28.01247070","84.11927840",486.300
"28.01238290","84.11922450",487.600
"28.01227390","84.11918000",489.800
"28.01215560","84.11915480",491.000
"28.01207390","84.11914140",491.100
"28.01199310","84.11913960",491.400
"28.01183600","84.11916820",489.300
"28.01176790","84.11919240",488.100
"28.01170600","84.11922260",486.900
"28.01164300","84.11927820",486.400
"28.01158440","84.11934060",486.900
"28.01147450","84.11947210",488.400
"28.01131400","84.11975840",493.700
"28.01121860","84.11999240",492.500
"28.01118950","84.12008290",491.600
"28.01116470","84.12019550",490.900
"28.01112620","84.12154520",490.500
"28.01110720","84.12162910",491.900
"28.01107580","84.12171630",493.700
"28.01104920","84.12176800",494.400
"28.01101450","84.12181360",494.400
"28.01096040","84.12188260",493.700
"28.01089400","84.12193840",491.400
"28.01074450","84.12203400",492.000
"28.01008460","84.12241230",488.800
"28.00977880","84.12252350",484.300
"28.00925190","84.12272240",489.500
"28.00916780","84.12276710",491.600
"28.00909720","84.12282410",491.500
"28.00903050","84.12288710",491.100
"28.00896860","84.12295590",490.800
"28.00882920","84.12316540",492.000
"28.00870610","84.12339370",496.100
"28.00855520","84.12365110",502.900
"28.00840860","84.12381730",502.200
"28.00816870","84.12406640",496.600
"28.00785410","84.12438370",492.700
"28.00780440","84.12446890",492.900
"28.00776890","84.12456570",492.700
"28.00776470","84.12464930",493.200
"28.00777270","84.12473520",493.900
"28.00809550","84.12622900",502.400
"28.00817030","84.12654970",509.100
"28.00821550","84.12686130",510.200
"28.00821560","84.12729790",503.800
"28.00820700","84.12752060",505.800
"28.00821410","84.12760980",506.600
"28.00822390","84.12770030",507.600
"28.00829010","84.12811750",504.900
"28.00834080","84.12829310",500.900
"28.00840640","84.12845090",500.000
"28.00852090","84.12862020",500.800
"28.00866830","84.12878720",501.100
"28.00889810","84.12901890",498.300
"28.00914890","84.12921530",493.700
"28.00950790","84.12942240",491.200
"28.00970730","84.12953300",490.700
"28.00983030","84.12959930",490.300
"28.00995130","84.12969280",489.300
"28.01002440","84.12978710",488.800
"28.01007290","84.12989920",489.100
"28.01009870","84.13010530",490.400
"28.01007510","84.13031250",491.900
"28.00981140","84.13169630",496.100
"28.00951930","84.13323630",499.700
"28.00931520","84.13427630",489.100
"28.00890290","84.13644790",506.300
"28.00888780","84.13651070",506.700
"28.00885230","84.13659790",506.800
"28.00881970","84.13665690",506.600
"28.00877880","84.13670920",505.800
"28.00873980","84.13675410",504.900
"28.00863130","84.13684610",502.000
"28.00846530","84.13697380",499.400
"28.00841130","84.13701930",498.500
"28.00834940","84.13708080",497.300
"28.00832420","84.13711420",497.000
"28.00830360","84.13715240",496.900
"28.00826970","84.13724360",496.600
"28.00824600","84.13732680",495.800
"28.00825210","84.13742360",495.000
"28.00826120","84.13748320",494.400
"28.00832010","84.13785920",496.400
"28.00835160","84.13816550",501.700
"28.00832180","84.13834600",502.900
"28.00827920","84.13846940",503.400
"28.00815520","84.13870330",502.600
"28.00797340","84.13904710",498.900
"28.00791930","84.13916410",498.100
"28.00788550","84.13926180",497.600
"28.00787370","84.13930020",497.400
"28.00786780","84.13934580",497.400
"28.00787190","84.13946990",498.000
"28.00787950","84.13956640",498.300
"28.00795080","84.14006800",497.700
"28.00798930","84.14029970",496.800
"28.00808500","84.14090750",494.500
"28.00815760","84.14149700",500.900
"28.00815840","84.14158950",501.500
"28.00815130","84.14168270",501.800
"28.00813180","84.14179800",501.300
"28.00808830","84.14195700",500.100
"28.00793160","84.14248660",498.200
"28.00791010","84.14255150",497.300
"28.00783220","84.14279310",494.800
"28.00754770","84.14363490",498.900
"28.00752470","84.14368450",499.600
"28.00749910","84.14372730",500.100
"28.00744650","84.14379100",500.500
"28.00739090","84.14383690",500.700
"28.00735670","84.14385760",500.800
"28.00732070","84.14387830",500.800
"28.00726150","84.14389820",500.700
"28.00719640","84.14390560",500.300
"28.00653840","84.14387340",499.100
"28.00615220","84.14385360",502.200
"28.00609110","84.14385590",502.700
"28.00603280","84.14387400",503.400
"28.00596560","84.14391610",504.200
"28.00593060","84.14394920",504.500
"28.00590530","84.14398350",504.700
"28.00587620","84.14403500",504.900
"28.00585440","84.14409180",505.000
"28.00583520","84.14420940",504.900
"28.00579640","84.14458610",503.300
"28.00577620","84.14471490",503.000
"28.00575260","84.14484260",503.200
"28.00570920","84.14499120",503.600
"28.00516210","84.14621690",509.700
"28.00511210","84.14634620",509.500
"28.00509820","84.14642900",509.500
"28.00510020","84.14654380",509.600
"28.00511980","84.14669670",510.300
"28.00518220","84.14700650",512.500
"28.00527580","84.14740930",513.700
"28.00529360","84.14750300",514.100
"28.00530360","84.14757750",514.900
"28.00529870","84.14764420",515.600
"28.00528490","84.14772130",516.400
"28.00526340","84.14779190",517.200
"28.00521630","84.14789840",518.300
"28.00516440","84.14799830",519.400
"28.00500670","84.14826560",520.800
"28.00490080","84.14848640",523.300
"28.00487620","84.14855050",524.000
"28.00487080","84.14862080",524.400
"28.00487480","84.14872130",523.800
"28.00497980","84.14930350",520.800
"28.00510940","84.14991430",512.300
"28.00513260","84.15004580",510.900
"28.00515220","84.15018180",510.800
"28.00516500","84.15032470",510.800
"28.00516810","84.15045650",511.000
"28.00516280","84.15058690",511.000
"28.00515160","84.15070970",511.000
"28.00511280","84.15092080",510.800
"28.00493780","84.15163640",510.200
"28.00474040","84.15236250",512.600
"28.00451100","84.15327700",510.600
"28.00447960","84.15338050",510.600
"28.00444320","84.15347150",510.000
"28.00440970","84.15353670",509.900
"28.00437310","84.15358300",510.000
"28.00432620","84.15362450",510.000
"28.00419260","84.15372520",508.900
"28.00355810","84.15414060",510.900
"28.00347520","84.15420860",510.000
"28.00343570","84.15425950",509.100
"28.00340800","84.15429890",508.500
"28.00337840","84.15435500",507.500
"28.00335880","84.15440440",506.600
"28.00334340","84.15446300",505.700
"28.00331920","84.15460620",504.600
"28.00329770","84.15474730",504.100
"28.00323640","84.15514710",507.900
"28.00317940","84.15545850",509.600
"28.00314150","84.15558590",510.000
"28.00310250","84.15567440",509.500
"28.00290980","84.15602280",507.900
"28.00281950","84.15617470",507.900
"28.00274130","84.15629670",508.200
"28.00270160","84.15635840",508.300
"28.00262230","84.15647040",508.900
"28.00238080","84.15677610",510.500
"28.00235170","84.15680700",510.600
"28.00231390","84.15683450",510.800
"28.00210410","84.15699830",511.100
"28.00174730","84.15722680",510.700
"28.00152820","84.15736290",511.200
"28.00119610","84.15759020",511.900
"28.00101790","84.15774440",511.600
"28.00070230","84.15807630",511.400
"28.00039060","84.15845120",511.200
"28.00029850","84.15856520",511.100
"27.99995920","84.15895610",513.800
"27.99986010","84.15905630",515.500
"27.99945900","84.15945160",516.500
"27.99911670","84.15978890",513.500
"27.99900130","84.15991770",514.500
"27.99893200","84.16000950",514.500
"27.99880240","84.16020330",516.600
"27.99872300","84.16034080",515.700
"27.99867510","84.16042530",514.900
"27.99863540","84.16050980",513.700
"27.99855310","84.16082490",508.200
"27.99853060","84.16091950",507.600
"27.99828070","84.16261530",508.100
"27.99813750","84.16362720",509.200
"27.99804570","84.16413480",512.100
"27.99803500","84.16418910",512.200
"27.99801310","84.16425350",512.200
"27.99798000","84.16432860",512.200
"27.99795510","84.16437180",512.200
"27.99787690","84.16449620",511.900
"27.99763540","84.16482410",509.300
"27.99625110","84.16651730",511.800
"27.99517110","84.16783420",511.700
"27.99508110","84.16797640",512.700
"27.99498120","84.16814550",514.300
"27.99491460","84.16827970",515.500
"27.99483720","84.16846990",516.100
"27.99471350","84.16892640",514.900
"27.99443270","84.16996240",517.000
"27.99432130","84.17036740",516.500
"27.99407470","84.17132190",516.600
"27.99402900","84.17151590",517.700
"27.99364280","84.17295320",523.000
"27.99354170","84.17323620",525.300
"27.99342660","84.17346650",526.300
"27.99282300","84.17456970",527.500
"27.99238810","84.17537720",527.300
"27.99200930","84.17608990",524.100
"27.99187210","84.17631590",524.700
"27.99156880","84.17682770",530.400
"27.99127300","84.17728830",534.800
"27.99069760","84.17834360",539.400
"27.99039310","84.17898290",535.300
"27.99008170","84.17963670",534.500
"27.98972520","84.18044670",541.600
"27.98955040","84.18094860",545.400
"27.98926650","84.18186550",548.400
"27.98917680","84.18215540",546.700
"27.98913120","84.18230250",545.700
"27.98908030","84.18246860",545.400
"27.98881800","84.18332500",548.200
"27.98833010","84.18491770",549.100
"27.98792460","84.18608500",557.000
"27.98788250","84.18620640",557.200
