id,X,Y,Z,length,bridge,tunnel,grade,hz. angle,speed,time
964,524830.632,3095718.45,372.158,17.64718714052108,0,0,-14.982557724051734,1.1546944608964067,80.0,0.7941234213234486
965,524838.89,3095735.31,369.552,18.953770073421037,0,0,-13.749243500924393,8.14844741814302,80.0,0.8529196533039467
966,524845.2091,3095743.113,368.518,10.09390854956831,0,0,-10.243801941758925,12.906039101860056,52.767363293429575,0.6886467033870275
967,524853.2159,3095748.149,367.996,9.47325848073044,0,0,-5.510247620307118,18.829953337694242,41.51343533342586,0.8215106809811493
968,524862.0808,3095752.078,367.686,9.701525293004805,0,0,-3.195373826665431,8.26513811830683,61.85370047539837,0.5646467517122687
969,524872.1717,3095752.952,366.938,10.156261261347288,0,0,-7.364914910634781,18.953145494977605,41.38519255729393,0.88346914153493
970,524902.9732,3095747.22,365.814,31.350464147311726,0,0,-3.585273872560349,15.49204761342962,46.89909651914523,2.4064785743633594
971,524948.8975,3095735.115,362.995,47.57645548467673,0,0,-5.925199704942187,4.224637745436179,80.0,2.140940496810453
972,524996.3918,3095720.187,361.8,49.79941507187659,0,0,-2.399626578495397,2.682030441812403,80.0,2.2409736782344463
973,525007.5503,3095709.063,362.721,15.78302059958073,0,0,5.835384894729582,27.462761120781007,42.1281172868264,1.3487161975846966
974,525014.9716,3095697.465,363.595,13.796853760768508,0,0,6.3347775888242825,12.474444795678668,57.563360039659806,0.8628522293442579
975,525026.9331,3095664.303,361.962,35.29110957805325,0,0,-4.627227705573656,12.779943306304453,58.42790484603121,2.1744403605740725
976,525035.3889,3095642.458,361.41,23.430947113348637,0,0,-2.3558586741271292,1.3261863830671288,80.0,1.0543926201006886
977,525046.2838,3095625.615,366.403,20.671612032081406,0,0,24.1538975879147,11.736312251583929,69.78643574128681,1.0663648676854012
978,525053.1116,3095620.444,369.987,9.284565140086809,0,0,38.60170019730718,19.964894038595197,30.580467437634752,1.092999463545732
979,525062.3573,3095616.263,372.158,10.376751442256744,0,0,20.92176932328873,12.805315586506405,38.747473186186525,0.9640965492800652
980,525075.2657,3095615.215,371.769,12.956713146426374,0,0,-3.0023046401031204,19.691451134070835,38.60938465561134,1.2081043959439497
981,525105.3813,3095617.903,365.759,30.826852050794873,0,0,-19.495990022260553,9.741997706527725,68.80911366906945,1.6128193122293761
982,525111.2934,3095617.916,364.966,5.965060302252362,0,0,-13.294081867044587,4.974493638627795,66.60761543457424,0.32239882704105643
983,525141.1115,3095617.025,361.595,30.021269287165417,0,0,-11.228705781074815,1.837542547693085,80.0,1.3509571179224438
984,525164.6028,3095607.378,359.136,25.513770119044125,0,0,-9.637932726236109,20.614569682854516,65.71625558262386,1.3976689878971886
985,525225.9495,3095554.195,357.85,81.20038722758618,0,0,-1.5837362898229002,18.596715302182474,67.73110974313238,4.315910297763137
986,525243.9502,3095545.346,356.576,20.098583967231345,0,0,-6.338755019145258,14.744479283100143,67.18305715614642,1.0769813900231728
987,525251.8311,3095544.686,356.241,7.9155801941115955,0,0,-4.232159763212848,21.39119561999678,35.13714973025728,0.8109960232278947
988,525259.8892,3095544.005,356.114,8.087822056081341,0,0,-1.57026204482969,0.043492334190847484,80.0,0.3639519925236604
989,525275.7579,3095548.038,355.318,16.392508797986157,0,0,-4.8558766068668024,19.090371099524763,37.28407100766868,1.5827947452576254
