ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,fid
1463.6,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>622401.1353</td></tr><tr><td><b>y</b></td><td>3068867.109</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>10</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>10</td></tr><tr><td><b>distance</b></td><td>5485.5841</td></tr><tr><td><b>angle</b></td><td>320.9032273</td></tr></table>",,,,,,,,,,,,,,,,,
1512.1,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>622121.248</td></tr><tr><td><b>y</b></td><td>3068897</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>11</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>11</td></tr><tr><td><b>distance</b></td><td>5767.06297</td></tr><tr><td><b>angle</b></td><td>276.4247178</td></tr></table>",,,,,,,,,,,,,,,,,
1513.9,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>621914.7292</td></tr><tr><td><b>y</b></td><td>3068921.456</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>12</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>12</td></tr><tr><td><b>distance</b></td><td>5975.024762</td></tr><tr><td><b>angle</b></td><td>249.683815</td></tr></table>",,,,,,,,,,,,,,,,,
1507.4,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>621789.731</td></tr><tr><td><b>y</b></td><td>3068785.589</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>13</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>13</td></tr><tr><td><b>distance</b></td><td>6159.644802</td></tr><tr><td><b>angle</b></td><td>198.4230835</td></tr></table>",,,,,,,,,,,,,,,,,
1501.8,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>621816.9045</td></tr><tr><td><b>y</b></td><td>3068516.571</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>14</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>14</td></tr><tr><td><b>distance</b></td><td>6430.031592</td></tr><tr><td><b>angle</b></td><td>204.4910609</td></tr></table>",,,,,,,,,,,,,,,,,
1508.2,,,,last sec,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1000</td></tr><tr><td><b>x</b></td><td>621751.8457</td></tr><tr><td><b>y</b></td><td>3068470.592</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>6509.113253</td></tr><tr><td><b>vertex_index</b></td><td>15</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>15</td></tr><tr><td><b>distance</b></td><td>6509.697856</td></tr><tr><td><b>angle</b></td><td>234.7500107</td></tr></table>",,,,,,,,,,,,,,,,,
1508.2,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621751.8457</td></tr><tr><td><b>y</b></td><td>3068470.592</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td></td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td></td></tr><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>218.9275435</td></tr></table>",,,,,,,,,,,,,,,,,
1502.4,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621555.8265</td></tr><tr><td><b>y</b></td><td>3068227.901</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>1</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>1</td></tr><tr><td><b>distance</b></td><td>311.9651223</td></tr><tr><td><b>angle</b></td><td>215.2482573</td></tr></table>",,,,,,,,,,,,,,,,,
1487.4,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621436.8148</td></tr><tr><td><b>y</b></td><td>3068034.216</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>2</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>2</td></tr><tr><td><b>distance</b></td><td>539.2929339</td></tr><tr><td><b>angle</b></td><td>223.4369087</td></tr></table>",,,,,,,,,,,,,,,,,
1487.9,,,,,,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>fid</b></td><td>1001</td></tr><tr><td><b>x</b></td><td>621376.1422</td></tr><tr><td><b>y</b></td><td>3067992.212</td></tr><tr><td><b>z</b></td><td></td></tr><tr><td><b>bridge</b></td><td>F</td></tr><tr><td><b>length</b></td><td>1517.001693</td></tr><tr><td><b>vertex_index</b></td><td>3</td></tr><tr><td><b>vertex_part</b></td><td></td></tr><tr><td><b>vertex_part_index</b></td><td>3</td></tr><tr><td><b>distance</b></td><td>613.0866642</td></tr><tr><td><b>angle</b></td><td>262.8139916</td></tr></table>",,,,,,,,,,,,,,,,,
