id,lat,lon,alt,x,y,z,length,grade,hz. angle
3730,27.8102673,84.6840542,317.7,522695.5380499357,5617488.5666631395,2955931.1172370715,27.621444508105988,-2.1722252788913425,5.0180562929489
3731,27.8101834,84.6842899,318.2,522672.8738158288,5617495.495930383,2955923.1443312857,25.004989079233564,1.9996009532963397,1.4265498060973123
3732,27.8100919,84.6845368,315.5,522648.8858009084,5617500.10205454,2955912.9351324174,26.47393021649086,-10.198712385810147,6.130762000160031
3733,27.8100281,84.6847709,317.5,522626.4045473213,5617507.298129493,2955907.627991811,24.19413149910287,8.266467428575234,6.879960820467688
3734,27.8099918,84.6849038,320.9,522613.8277126873,5617513.381912832,2955905.6637560967,14.108416320236403,24.09909037857912,8.064948404963792
3735,27.809968,84.6850598,321.9,522598.72926023585,5617516.916282012,2955903.802435248,15.61792390911348,6.402899680004671,12.639382673502684
3736,27.809923,84.6852538,321.8,522579.9169765531,5617520.924742889,2955899.3543606084,19.742217301004523,-0.506528716989037,1.146516610165625
3737,27.809907,84.6854558,318.0,522559.8776890121,5617520.24784898,2955896.016560199,20.326636270813175,-18.694681940348367,13.963135856204548
3738,27.8098898,84.6856508,315.6,522540.64518580324,5617520.802074893,2955893.2145453515,19.443447051605325,-12.343490295882612,3.585265085754738
3739,27.8098768,84.6858745,314.9,522518.7178747432,5617522.897964003,2955891.6164469817,22.085145231135087,-3.1695512647714126,3.8092994544487246
3740,27.8098637,84.6860839,316.7,522498.3978591925,5617527.0702805715,2955891.1749151032,20.74864352028371,8.675265919144765,6.143347480827235
3741,27.8098519,84.6863642,310.4,522470.4567352988,5617524.688159081,2955887.08157078,28.33966081286215,-22.23032957804743,16.476261353370692
3742,27.8098435,84.6866177,308.2,522445.4627022034,5617525.496573154,2955885.2335880757,25.07529189780841,-8.773576829996022,6.72551526392572
3743,27.8098175,84.6871273,322.1,522396.76273762214,5617543.729359042,2955889.1754288776,52.1503512966531,26.653703483090645,18.67285889528292
3744,27.8098281,84.6873862,323.4,522371.43446850486,5617546.686590323,2955890.8187090484,25.55321512155547,5.08742243907827,13.86592058010561
3745,27.8098137,84.6876118,324.2,522349.4503400395,5617550.192590503,2955889.783483005,22.285996378950607,3.589698151237344,2.401668312404629
3746,27.8098056,84.6878448,323.0,522326.5465906091,5617551.67877018,2955888.431380384,22.99170827709547,-5.219272902811831,5.348544937120747
3747,27.8097851,84.6880348,321.9,522307.9265734182,5617553.50217862,2955885.9130941574,18.87780771299163,-5.826947793535408,1.880382581942197
3748,27.8097592,84.6882394,320.0,522287.83555191744,5617555.033298924,2955882.4934071256,20.4374101520875,-9.29667695593959,1.2349487747862773
3749,27.8097239,84.6883757,319.7,522274.61719190615,5617557.836991849,2955878.9007706693,13.98187298313789,-2.14563528335446,7.617255574603329
3750,27.8096772,84.6885176,318.5,522260.8308866655,5617560.488586077,2955873.7732221615,14.946066968756588,-8.0288680795321,1.0882393902807708
3751,27.8095998,84.6886969,315.5,522243.3779031387,5617563.483342757,2955864.80315677,19.850372155069298,-15.113066780634002,1.150495736708845
3752,27.8095506,84.6887769,314.2,522235.6643929673,5617565.611859302,2955859.3844310003,9.663923158316047,-13.452093717046258,5.690098489882225
3753,27.8094982,84.688867,312.1,522226.9105072177,5617567.2933316585,2955853.279487653,10.804082481856659,-19.43709707443001,4.5535495153839936
3754,27.8094119,84.6890871,311.1,522205.66377425235,5617572.881464068,2955844.3719839333,23.706423349918722,-4.218266016933459,3.862601223790832
3755,27.8093487,84.6892932,313.1,522185.9241986033,5617579.78948525,2955839.1234734557,21.56196803832443,9.275591154041146,4.552187995974605
3756,27.8092839,84.6894949,320.1,522167.0329888393,5617591.143616309,2955836.0511095733,22.25384277589243,31.455241553081763,11.719113226502547
3757,27.809238,84.6896479,326.6,522152.7847536229,5617600.6361580305,2955834.594073669,17.182651388406942,37.82885337699117,2.6655634777449446
3758,27.8091929,84.6898079,330.2,522137.6089146796,5617607.597027421,2955831.8623419856,16.91810120240294,21.27898371649795,9.032550281803944
3759,27.8091591,84.6899383,330.1,522124.9780159706,5617610.445143044,2955828.509705474,13.375034070118888,-0.7476616468841415,11.933033862564576
3760,27.8091392,84.6900762,328.9,522111.45491635584,5617611.6739956215,2955826.0034493837,13.808172270049813,-8.69050571307593,7.5147484576252825
3761,27.8090998,84.6902628,328.1,522093.2834394214,5617614.707248131,2955821.7765058167,18.90159376038582,-4.232447327677753,4.2844144059261335
3762,27.8090576,84.6904558,326.8,522074.4569858253,5617617.503191883,2955817.042429947,19.61285626344668,-6.628305344912342,1.029321647225101
3763,27.8090321,84.6905854,325.1,522061.7336387741,5617618.505520182,2955813.755174633,13.179312186259057,-12.899003953881852,3.9429538302137876
3764,27.8089847,84.6907456,324.4,522046.1971700477,5617621.799826104,2955808.792401466,16.639213608375684,-4.206929584987637,7.467131846634963
3765,27.8089539,84.6908797,324.0,522033.1644710567,5617624.262085048,2955805.5932353414,13.643629501941067,-2.931771197268803,1.272766688840006
3766,27.808952,84.6910087,323.3,522020.4683722318,5617624.919167707,2955805.0808284315,12.72341321477887,-5.501668366684061,7.736065417794041
3767,27.808936,84.6911288,323.3,522008.7699237844,5617626.840768866,2955803.5158640915,11.958066753376551,0.0,6.365489920011795
3768,27.8089413,84.6912893,318.8,521992.63979434455,5617624.065740339,2955801.934897503,16.443275659846453,-27.366809953741424,19.089782767149053
3769,27.8089769,84.6916007,314.6,521961.59350776277,5617621.362730385,2955803.4575342447,31.20090697368926,-13.4611471504393,4.78576558978377
3770,27.8090154,84.691845,315.6,521937.53771985014,5617622.478055225,2955807.6897485293,24.45069568226405,4.089863180152277,7.630411242617758
3771,27.8090563,84.6920155,315.4,521920.6080071977,5617621.740051538,2955811.596875089,17.390384063954265,-1.150060856991614,5.1506356577693735
3772,27.8091118,84.6922213,311.7,521899.8607610707,5617617.4860455105,2955815.2991803265,21.500043097724117,-17.209267828824267,9.091231206804144
3773,27.8091317,84.6923373,309.1,521888.1790982163,5617615.223739543,2955816.0326261697,11.921292637091817,-21.809715432287486,0.6269082414462571
3774,27.809136,84.6924005,308.2,521881.8883033156,5617614.784399929,2955816.0333337435,6.30611768674418,-14.2718554379644,6.9654285819114055
3775,27.809142,84.6924627,307.2,521875.6792072141,5617614.159963198,2955816.153665143,6.241576345381695,-16.021593659427495,1.747852258094671
