ID,X,Y,Z,refined ID,vertex_ind,distance,angle
61,85.15281846,27.74140761,873.6156616,2,8,0.027569931,92.86778071
62,85.15519744,27.74103056,889.8239136,2,9,0.029978597,140.8432901
63,85.15504698,27.73781697,902.3535156,2,10,0.0331957,136.7110326
64,85.16515983,27.73768608,962.3731079,2,11,0.043309393,60.61680821
65,85.16778118,27.74213766,988.1399536,2,12,0.048475442,27.6655345
66,85.16914661,27.74508745,984.4804077,2,13,0.051725936,59.72495453
67,85.17329713,27.74475272,991.8597412,2,14,0.055889922,123.2945403
68,85.17486181,27.74181268,997.1286621,2,15,0.059220398,132.5817169
69,85.17695989,27.74091408,993.161499,2,16,0.061502818,126.4697617
70,85.17844331,27.73916153,1026.355835,2,17,0.063798896,71.81028932
71,85.1787822,27.74417604,1033.344849,2,18,0.068824848,26.90976573
72,85.18105631,27.7460874,1060.071777,2,19,0.071795516,70.50921691
73,85.18392444,27.74603408,1074.721069,2,20,0.074664145,52.31142762
74,85.18454141,27.74859258,1076.307251,2,21,0.077295988,19.53547848
75,85.18582026,27.75127216,1109.735596,2,22,0.080265096,62.0861934
76,85.18940848,27.75072571,1110.891235,2,23,0.083894678,129.4104917
77,85.19045202,27.74783319,1137.730957,2,24,0.086969679,124.1415878
78,85.19657054,27.74803389,1177.468018,2,25,0.093091494,106.1537761
79,85.20051403,27.74535527,1210.793823,2,26,0.097858682,90.47294051
80,85.2031948,27.74711222,1231.467285,2,27,0.101063896,69.92035089
81,85.20921878,27.74784322,1257.384155,2,28,0.107132062,69.99557549
82,85.21490673,27.75154973,1293.243774,2,29,0.1139211,99.15449816
83,85.21880909,27.74666151,1346.588135,2,30,0.120175943,142.2717965
84,85.22108062,27.74363121,1372.745239,2,31,0.123963102,130.7559276
85,85.22428604,27.74190042,1401.525146,2,32,0.127605951,109.4457343
86,85.22757514,27.74128938,1419.368042,2,33,0.130951325,108.1726827
87,85.2297584,27.74023296,1435.403076,2,34,0.133376744,159.1185347
88,85.22898293,27.73835303,1449.781982,2,35,0.135410328,203.962336
89,85.22800155,27.73629633,1458.239258,2,36,0.137689172,164.5400789
90,85.23026389,27.73479486,1469.783447,2,37,0.140404419,139.5486263
91,85.23277061,27.7292878,1500.244141,2,38,0.146455153,146.1040161
92,85.23747332,27.7243005,1451.380493,2,39,0.153309978,136.682243
93,85.28298488,27.7077505,1308.935,0,42,,
