X,Y,Z,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
84.76260429,27.85255355,513.883,"0","0","62",513.883,,,,,,,,,,,,,,,,,,,,,,
84.77683309,27.81478225,393.548,"0","0","63",393.548,,,,,,,,,,,,,,,,,,,,,,
84.784177616,27.812604581,368.071,"0","0","64",368.071,,,,,,,,,,,,,,,,,,,,,,
84.791806249,27.812050411,350.711,"0","0","65",350.711,,,,,,,,,,,,,,,,,,,,,,
84.798673929,27.813550745,358.773,"0","0","66",358.773,,,,,,,,,,,,,,,,,,,,,,
84.805290292,27.81506026,365.056,"0","0","67",365.056,,,,,,,,,,,,,,,,,,,,,,
84.8086682,27.81641107,371.1,"0","0","68",371.1,,,,,,,,,,,,,,,,,,,,,,
84.996981263,27.79617555,432.324,"0","0","69",432.324,,,,,,,,,,,,,,,,,,,,,,
85.00046623,27.79586861,433.076,"0","0","70",433.076,,,,,,,,,,,,,,,,,,,,,,
85.004623566,27.797368399,486.198,"0","0","71",486.198,,,,,,,,,,,,,,,,,,,,,,
85.014184375,27.782520682,498.341,"0","0","72",498.341,,,,,,,,,,,,,,,,,,,,,,
85.02903768,27.77389367,496.042,"0","0","73",496.042,,,,,,,,,,,,,,,,,,,,,,
85.043164786,27.764578806,576.36,"0","0","74",576.36,,,,,,,,,,,,,,,,,,,,,,
85.046478463,27.749142997,598.433,"0","0","75",598.433,,,,,,,,,,,,,,,,,,,,,,
85.051549532,27.75175662,599.612,"0","0","76",599.612,,,,,,,,,,,,,,,,,,,,,,
85.054466777,27.74864766,595.433,"0","0","77",595.433,,,,,,,,,,,,,,,,,,,,,,
85.062666528,27.753201433,632.528,"0","0","78",632.528,,,,,,,,,,,,,,,,,,,,,,
85.067293144,27.751427787,620.594,"0","0","79",620.594,,,,,,,,,,,,,,,,,,,,,,
85.070077915,27.751936332,622.89,"0","0","80",622.89,,,,,,,,,,,,,,,,,,,,,,
85.076870036,27.74743708,634.066,"0","0","81",634.066,,,,,,,,,,,,,,,,,,,,,,
85.085652224,27.744816763,663.834,"0","0","82",663.834,,,,,,,,,,,,,,,,,,,,,,
85.088641452,27.747378204,658.301,"0","0","83",658.301,,,,,,,,,,,,,,,,,,,,,,
85.102843001,27.742976662,760.559,"0","0","84",760.559,,,,,,,,,,,,,,,,,,,,,,
85.112864648,27.744531752,741.115,"0","0","85",741.115,,,,,,,,,,,,,,,,,,,,,,
85.124090452,27.736933911,772.821,"0","0","86",772.821,,,,,,,,,,,,,,,,,,,,,,
85.131298054,27.736086774,786.999,"0","0","87",786.999,,,,,,,,,,,,,,,,,,,,,,
85.134433937,27.734602824,796.349,"0","0","88",796.349,,,,,,,,,,,,,,,,,,,,,,
85.13541699,27.735403805,788.96,"0","0","89",788.96,,,,,,,,,,,,,,,,,,,,,,
85.136089351,27.735748968,796.475,"0","0","90",796.475,,,,,,,,,,,,,,,,,,,,,,
