X,Y,Z,id,vertex_ind,vertex_par,vertex_p_1,distance,angle
85.1316012556181,27.7402864812969,892.780456542969,"1","0","0","0",0.00000000000000,42.74393730585926
85.1340163493703,27.7428996696783,899.077941894531,"1","1","0","1",0.00355829050919,60.29874803855322
85.1378324883908,27.7437210149008,883.554443359375,"1","2","0","2",0.00746181776005,122.98530209132925
85.1387457366978,27.7393809423999,889.909118652344,"1","3","0","3",0.01189693351758,134.69423943995545
85.1423643830306,27.7386597415467,890.367431640625,"1","4","0","4",0.01558674814067,90.04628908890798
85.1459461306638,27.7393675731273,890.557312011719,"1","5","0","5",0.01923776740306,48.24123167024082
85.146575504872,27.7413442695971,880.731018066406,"1","6","0","6",0.02131224102966,56.35138370335654
85.1485939649312,27.7411662057645,889.756774902344,"1","7","0","7",0.02333854005472,90.88545994309416
85.1528184639538,27.741407608739,873.615661621094,"1","8","0","8",0.02756993077039,92.86778070824349
85.1551974353071,27.7410305574699,889.823913574219,"1","9","0","9",0.02997859686578,140.84329007926414
85.1550469832459,27.7378169738845,902.353515625,"1","10","0","10",0.03319570042071,136.71103255823513
85.1651598291333,27.7376860767187,962.373107910156,"1","11","0","11",0.04330939341635,60.61680820519002
85.1677811787484,27.7421376591791,988.139953613281,"1","12","0","12",0.04847544221661,27.66553450283251
85.1691466147167,27.7450874547601,984.480407714844,"1","13","0","13",0.05172593592578,59.72495453199116
85.1732971250847,27.7447527192749,991.859741210938,"1","14","0","14",0.05588992249633,123.29454025737827
85.1748618074714,27.7418126789594,997.128662109375,"1","15","0","15",0.05922039814229,132.58171687895975
85.1769598917488,27.7409140788352,993.161499023438,"1","16","0","16",0.06150281787102,126.46976166212959
85.178443311824,27.7391615262657,1026.35583496094,"1","17","0","17",0.06379889618595,71.81028932413015
85.1787822031168,27.7441760392155,1033.34484863281,"1","18","0","18",0.06882484758166,26.90976572850290
85.1810563079297,27.7460874044531,1060.07177734375,"1","19","0","19",0.07179551581817,70.50921690970506
85.1839244417562,27.7460340765178,1074.72106933594,"1","20","0","20",0.07466414537170,52.31142762481444
85.1845414085141,27.7485925818211,1076.30725097656,"1","21","0","21",0.07729598833188,19.53547847547729
85.1858202639728,27.7512721578658,1109.73559570312,"1","22","0","22",0.08026509578424,62.08619339665642
85.189408475157,27.7507257059471,1110.89123535156,"1","23","0","23",0.08389467829493,129.41049167576031
85.190452018771,27.7478331900544,1137.73095703125,"1","24","0","24",0.08696967934597,124.14158784155384
85.196570542414,27.7480338868931,1177.46801757812,"1","25","0","25",0.09309149368405,106.15377609334303
85.2005140337423,27.7453552744845,1210.79382324219,"1","26","0","26",0.09785868240405,90.47294051213588
85.2031948043605,27.747112221602,1231.46728515625,"1","27","0","27",0.10106389601329,69.92035089003360
85.2092187793698,27.7478432202869,1257.38415527344,"1","28","0","28",0.10713206163316,69.99557548953338
85.2149067348685,27.7515497284216,1293.24377441406,"1","29","0","29",0.11392109987932,99.15449816200912
85.2188090946934,27.7466615134071,1346.58813476562,"1","30","0","30",0.12017594266163,142.27179649863342
85.2210806201471,27.743631209074,1372.74523925781,"1","31","0","31",0.12396310152253,130.75592762355996
85.2242860388705,27.7419004167152,1401.52514648438,"1","32","0","32",0.12760595087190,109.44573431132626
85.2275751355509,27.7412893772727,1419.36804199219,"1","33","0","33",0.13095132471846,108.17268271018963
85.2297583974556,27.740232955516,1435.40307617188,"1","34","0","34",0.13337674416100,159.11853472085190
85.228982934795,27.7383530302051,1449.78198242188,"1","35","0","35",0.13541032757765,203.96233598542435
85.2280015549605,27.7362963278546,1458.2392578125,"1","36","0","36",0.13768917178861,164.54007893872335
85.230263890227,27.7347948595252,1469.78344726562,"1","37","0","37",0.14040441910739,139.54862626657695
85.2327706101213,27.7292877972843,1500.244140625,"1","38","0","38",0.14645515287726,146.10401612612563
85.2374733209566,27.7243004994283,1451.38049316406,"1","39","0","39",0.15330997811976,136.68224302148354
